"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci"
"31","CFAF6","700_28_3","673_28",673,28,"T90","F","PAST","F","700","28","AF_F",10.115,"carb",0.102534036414566,0.732048867991477,0.609898239121816,0.858349783443023
"32","CFAF8","2800_28_3","3285_28",3285,28,"T90","F","PAST","F","2800","28","AF_F",9.643,"carb",0.867945251477756,0.684473222364551,0.56661293482454,0.805442701068808
"33","CFAF9","400_28_3","447_28",447,28,"T90","F","PAST","F","400","28","AF_F",5.018,"carb",2.18060860701475,0.775288458194919,0.645290492047558,0.897646655482266
"34","CFPA1","280_31_1","311_31",311,31,"T90","F","PSTR","A","280","31","PA_F",12.372,"carb",0.269951560813091,0.476460344949114,0.356540795907507,0.599900847634757
"35","CFPA10","2800_28_2","3285_28",3285,28,"T90","F","PSTR","A","2800","28","PA_F",14.24,"carb",0.484517085088951,0.577818196661644,0.462356793141935,0.697163834356103
"36","CFPA11","400_31_2","405_31",405,31,"T90","F","PSTR","A","400","31","PA_F",10.967,"carb",0.248175354157247,0.417253746250112,0.279757188004323,0.55101714675708
"37","CFPA12","280_31_2","311_31",311,31,"T90","F","PSTR","A","280","31","PA_F",18.462,"carb",0.104887943308879,0.476460344949114,0.356540795907507,0.599900847634757
"38","CFPA2","280_28_1","288_28",288,28,"T90","F","PSTR","A","280","28","PA_F",11.998,"carb",0.570950082791576,0.727840031191014,0.611928866430347,0.839871837009742
"39","CFPA20","700_31_2","701_31",701,31,"T90","F","PSTR","A","700","31","PA_F",10.441,"carb",0.523578597356575,0.37401415604667,0.246011931607085,0.500250402218889
"40","CFPA21","280_28_2","288_28",288,28,"T90","F","PSTR","A","280","28","PA_F",16.909,"carb",0.880771468054488,0.727840031191014,0.611928866430347,0.839871837009742
"41","CFPA22","2800_31_2","3309_31",3309,31,"T90","F","PSTR","A","2800","31","PA_F",9.655,"carb",0.245194564670482,0.326438510419744,0.189060190662518,0.455460559155163
"42","CFPA3","400_31_1","405_31",405,31,"T90","F","PSTR","A","400","31","PA_F",12.671,"carb",0.270505913634809,0.417253746250112,0.279757188004323,0.55101714675708
"43","CFPA6","700_28_1","673_28",673,28,"T90","F","PSTR","A","700","28","PA_F",11.948,"carb",1.02058320965841,0.62539384228857,0.503105755137479,0.748285186205723
"44","CFPA7","2800_31_1","3309_31",3309,31,"T90","F","PSTR","A","2800","31","PA_F",11.518,"carb",0.255060566070498,0.326438510419744,0.189060190662518,0.455460559155163
"45","CFPA8","2800_28_1","3285_28",3285,28,"T90","F","PSTR","A","2800","28","PA_F",7.292,"carb",0.412314550514387,0.577818196661644,0.462356793141935,0.697163834356103
"46","CFPA9","700_28_2","673_28",673,28,"T90","F","PSTR","A","700","28","PA_F",14.665,"carb",1.04096061620169,0.62539384228857,0.503105755137479,0.748285186205723
"47","CFPB1","400_28_1","447_28",447,28,"T90","F","PSTR","B","400","28","PB_F",7.942,"carb",1.29658056912616,0.668633432492013,0.542407422481488,0.794603566637209
"48","CFPB12","2800_28_1","3285_28",3285,28,"T90","F","PSTR","B","2800","28","PB_F",9.46,"carb",0.972443511627907,0.577818196661644,0.462356793141935,0.697163834356103
"49","CFPB2","280_28_1","288_28",288,28,"T90","F","PSTR","B","280","28","PB_F",10.94,"carb",0.844716546371139,0.727840031191014,0.611928866430347,0.839871837009742
"50","CFPB3","400_31_1","405_31",405,31,"T90","F","PSTR","B","400","31","PB_F",12.899,"carb",0.356761572731736,0.417253746250112,0.279757188004323,0.55101714675708
"51","CFPB5","700_31_1","701_31",701,31,"T90","F","PSTR","B","700","31","PB_F",9.71,"carb",0.42822174527978,0.37401415604667,0.246011931607085,0.500250402218889
"52","CFPB6","700_28_1","673_28",673,28,"T90","F","PSTR","B","700","28","PB_F",11.396,"carb",1.24300647656937,0.62539384228857,0.503105755137479,0.748285186205723
"53","CFPB7","2800_31_1","3309_31",3309,31,"T90","F","PSTR","B","2800","31","PB_F",8.536,"carb",0.359566223055295,0.326438510419744,0.189060190662518,0.455460559155163
"54","CFPB9","280_31_1","311_31",311,31,"T90","F","PSTR","B","280","31","PB_F",9.076,"carb",0.642674763662406,0.476460344949114,0.356540795907507,0.599900847634757
"55","CFPC10","400_28_2","447_28",447,28,"T90","F","PSTR","C","400","28","PC_F",10.171,"carb",0.240597085340674,0.668633432492013,0.542407422481488,0.794603566637209
"56","CFPC11","280_28_2","288_28",288,28,"T90","F","PSTR","C","280","28","PC_F",12.342,"carb",0.950529196232133,0.727840031191014,0.611928866430347,0.839871837009742
"57","CFPC12","700_31_2","701_31",701,31,"T90","F","PSTR","C","700","31","PC_F",11.884,"carb",0.273639908901955,0.37401415604667,0.246011931607085,0.500250402218889
"58","CFPC2","280_28_2","288_28",288,28,"T90","F","PSTR","C","280","28","PC_F",10.872,"carb",0.72155337422864,0.727840031191014,0.611928866430347,0.839871837009742
"59","CFPC6","700_28_2","673_28",673,28,"T90","F","PSTR","C","700","28","PC_F",11.821,"carb",0.21063515176253,0.62539384228857,0.503105755137479,0.748285186205723
"60","CFPC8","2800_28_2","3285_28",3285,28,"T90","F","PSTR","C","2800","28","PC_F",10.075,"carb",0.549909199050456,0.577818196661644,0.462356793141935,0.697163834356103
"61","CFPD1","280_31_2","311_31",311,31,"T90","F","PSTR","D","280","31","PD_F",12.425,"carb",0.277480911563969,0.476460344949114,0.356540795907507,0.599900847634757
"62","CFPD11","2800_28_2","3285_28",3285,28,"T90","F","PSTR","D","2800","28","PD_F",7.24,"carb",0.97907,0.577818196661644,0.462356793141935,0.697163834356103
"63","CFPD2","280_28_2","288_28",288,28,"T90","F","PSTR","D","280","28","PD_F",11.427,"carb",0.839582617361759,0.727840031191014,0.611928866430347,0.839871837009742
"64","CFPD5","700_31_2","701_31",701,31,"T90","F","PSTR","D","700","31","PD_F",8.533,"carb",0.278737256220066,0.37401415604667,0.246011931607085,0.500250402218889
"65","CFPD6","400_28_2","447_28",447,28,"T90","F","PSTR","D","400","28","PD_F",8.239,"carb",0.796778617436556,0.668633432492013,0.542407422481488,0.794603566637209
"66","CFPD7","2800_31_2","3309_31",3309,31,"T90","F","PSTR","D","2800","31","PD_F",11.931,"carb",0.270079638950022,0.326438510419744,0.189060190662518,0.455460559155163
"67","CFPD8","2800_28_2","3285_28",3285,28,"T90","F","PSTR","D","2800","28","PD_F",7.965,"carb",0.955771111117612,0.577818196661644,0.462356793141935,0.697163834356103
"68","CFPD9","700_28_2","673_28",673,28,"T90","F","PSTR","D","700","28","PD_F",7.055,"carb",0.352749651750484,0.62539384228857,0.503105755137479,0.748285186205723
"69","CFPE10","280_28_1","288_28",288,28,"T90","F","PSTR","E","280","28","PE_F",11.543,"carb",0.443536529149159,0.727840031191014,0.611928866430347,0.839871837009742
"70","CFPE12","700_28_2","673_28",673,28,"T90","F","PSTR","E","700","28","PE_F",13.964,"carb",0.130963255514179,0.62539384228857,0.503105755137479,0.748285186205723
"71","CFPE14","280_28_2","288_28",288,28,"T90","F","PSTR","E","280","28","PE_F",8.052,"carb",0.433368220226315,0.727840031191014,0.611928866430347,0.839871837009742
"72","CFPE2","280_28_3","288_28",288,28,"T90","F","PSTR","E","280","28","PE_F",10.804,"carb",0.286377869616011,0.727840031191014,0.611928866430347,0.839871837009742
"73","CFPE40","2800_28_1","3285_28",3285,28,"T90","F","PSTR","E","2800","28","PE_F",9.408,"carb",0.370696470773104,0.577818196661644,0.462356793141935,0.697163834356103
"74","CFPE42","2800_28_1","3285_28",3285,28,"T90","F","PSTR","E","2800","28","PE_F",9.626,"carb",0.599661848639102,0.577818196661644,0.462356793141935,0.697163834356103
"75","CFPE6","700_28_3","673_28",673,28,"T90","F","PSTR","E","700","28","PE_F",10.186,"carb",0.296192128711525,0.62539384228857,0.503105755137479,0.748285186205723
"76","CFPE8","2800_28_3","3285_28",3285,28,"T90","F","PSTR","E","2800","28","PE_F",11.411,"carb",0.292174768498233,0.577818196661644,0.462356793141935,0.697163834356103
"77","CFPF1","280_31_3","311_31",311,31,"T90","F","PSTR","F","280","31","PF_F",10.667,"carb",0.454428343582821,0.476460344949114,0.356540795907507,0.599900847634757
"78","CFPF2","280_28_3","288_28",288,28,"T90","F","PSTR","F","280","28","PF_F",11.07,"carb",0.292871548437812,0.727840031191014,0.611928866430347,0.839871837009742
