"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci","97.5%"
"50","CFPB9","280_31_1","4.5",311,31,"T90","F","PSTR","B","280","31","PB_F",9.076,"symb",4026.13212208211,"311_31",1470.79712868046,1187.36230936318,1760.1813148858
"51","CFPC10","400_28_2","6",447,28,"T90","F","PSTR","C","400","28","PC_F",10.171,"symb",1581.08332105915,"447_28",128.602073402751,-124.467461542931,371.947819045851
"52","CFPC11","280_28_2","4",288,28,"T90","F","PSTR","C","280","28","PC_F",12.342,"symb",126.963141363407,"288_28",294.240475699156,69.5309328012131,516.528487529789
"53","CFPC12","700_31_2","8.5",701,31,"T90","F","PSTR","C","700","31","PC_F",11.884,"symb",6059.39675090588,"701_31",1308.64189581391,1018.27848817624,1607.98399873926
"54","CFPC2","280_28_2","4",288,28,"T90","F","PSTR","C","280","28","PC_F",10.872,"symb",126.821650156703,"288_28",294.240475699156,69.5309328012131,516.528487529789
"55","CFPC6","700_28_2","8",673,28,"T90","F","PSTR","C","700","28","PC_F",11.821,"symb",250.062377360661,"673_28",132.085242832612,-98.8837547793704,354.856737096797
"56","CFPC8","2800_28_2","10",3285,28,"T90","F","PSTR","C","2800","28","PC_F",10.075,"symb",180.688033528089,"3285_28",-20.5257447438816,-246.80029249838,202.197060383357
"57","CFPD11","2800_28_2","10",3285,28,"T90","F","PSTR","D","2800","28","PD_F",7.24,"symb",46.1852411407076,"3285_28",-20.5257447438816,-246.80029249838,202.197060383357
"58","CFPD2","280_28_2","4",288,28,"T90","F","PSTR","D","280","28","PD_F",11.427,"symb",47.3192527214524,"288_28",294.240475699156,69.5309328012131,516.528487529789
"59","CFPD5","700_31_2","8.5",701,31,"T90","F","PSTR","D","700","31","PD_F",8.533,"symb",1164.86136911328,"701_31",1308.64189581391,1018.27848817624,1607.98399873926
"60","CFPD6","400_28_2","6",447,28,"T90","F","PSTR","D","400","28","PD_F",8.239,"symb",68.1836663028563,"447_28",128.602073402751,-124.467461542931,371.947819045851
"61","CFPD7","2800_31_2","10.5",3309,31,"T90","F","PSTR","D","2800","31","PD_F",11.931,"symb",14.9871568114866,"3309_31",1156.03090823742,864.080517469829,1443.7918762456
"62","CFPD8","2800_28_2","10",3285,28,"T90","F","PSTR","D","2800","28","PD_F",7.965,"symb",31.4805848967158,"3285_28",-20.5257447438816,-246.80029249838,202.197060383357
"63","CFPD9","700_28_2","8",673,28,"T90","F","PSTR","D","700","28","PD_F",7.055,"symb",34.0430429243602,"673_28",132.085242832612,-98.8837547793704,354.856737096797
"64","CFPE10","280_28_1","4",288,28,"T90","F","PSTR","E","280","28","PE_F",11.543,"symb",58.213495118083,"288_28",294.240475699156,69.5309328012131,516.528487529789
"65","CFPE12","700_28_2","8",673,28,"T90","F","PSTR","E","700","28","PE_F",13.964,"symb",44.5177607587248,"673_28",132.085242832612,-98.8837547793704,354.856737096797
"66","CFPE14","280_28_2","4",288,28,"T90","F","PSTR","E","280","28","PE_F",8.052,"symb",96.7145895859208,"288_28",294.240475699156,69.5309328012131,516.528487529789
"67","CFPE2","280_28_3","4",288,28,"T90","F","PSTR","E","280","28","PE_F",10.804,"symb",37.8839754829665,"288_28",294.240475699156,69.5309328012131,516.528487529789
"68","CFPE40","2800_28_1","10",3285,28,"T90","F","PSTR","E","2800","28","PE_F",9.408,"symb",46.3702240127722,"3285_28",-20.5257447438816,-246.80029249838,202.197060383357
"69","CFPE42","2800_28_1","10",3285,28,"T90","F","PSTR","E","2800","28","PE_F",9.626,"symb",61.9495277577666,"3285_28",-20.5257447438816,-246.80029249838,202.197060383357
"70","CFPE6","700_28_3","8",673,28,"T90","F","PSTR","E","700","28","PE_F",10.186,"symb",46.5969455481592,"673_28",132.085242832612,-98.8837547793704,354.856737096797
"71","CFPE8","2800_28_3","10",3285,28,"T90","F","PSTR","E","2800","28","PE_F",11.411,"symb",37.129318568776,"3285_28",-20.5257447438816,-246.80029249838,202.197060383357
"72","CFPF1","280_31_3","4.5",311,31,"T90","F","PSTR","F","280","31","PF_F",10.667,"symb",260.44166338969,"311_31",1470.79712868046,1187.36230936318,1760.1813148858
"73","CFPF2","280_28_3","4",288,28,"T90","F","PSTR","F","280","28","PF_F",11.07,"symb",37.4953746866723,"288_28",294.240475699156,69.5309328012131,516.528487529789
"74","CFPF6","700_28_3","8",673,28,"T90","F","PSTR","F","700","28","PF_F",11.765,"symb",19.5563851971436,"673_28",132.085242832612,-98.8837547793704,354.856737096797
"75","CFPF7","2800_31_3","10.5",3309,31,"T90","F","PSTR","F","2800","31","PF_F",12.335,"symb",220.16892219427,"3309_31",1156.03090823742,864.080517469829,1443.7918762456
"76","CFPF8","2800_28_3","10",3285,28,"T90","F","PSTR","F","2800","28","PF_F",15.117,"symb",21.3760169640071,"3285_28",-20.5257447438816,-246.80029249838,202.197060383357
"77","CFSA1","280_31_1","4.5",311,31,"T90","F","SSID","A","280","31","SA_F",10.283,"symb",25.5322138478209,"311_31",241.263927089391,-4.50846784270767,484.868323588435
"78","CFSA10","2800_28_1","10",3285,28,"T90","F","SSID","A","2800","28","SA_F",6.446,"symb",29.0884165019778,"3285_28",-105.192589930206,-338.654699719947,137.88608259995
"79","CFSA14","280_28_1","4",288,28,"T90","F","SSID","A","280","28","SA_F",4.661,"symb",48.9143760345091,"288_28",209.573630512832,-16.9614966299977,443.808224041417
"80","CFSA2","400_28_1","6",447,28,"T90","F","SSID","A","400","28","SA_F",8.3,"symb",67.410664328405,"447_28",43.9352282164271,-194.036685677825,289.597696082974
"81","CFSA3","400_31_1","6.5",405,31,"T90","F","SSID","A","400","31","SA_F",10.181,"symb",22.2460993680891,"405_31",75.6255247929859,-171.7969816498,313.534169242436
"82","CFSA5","700_31_1","8.5",701,31,"T90","F","SSID","A","700","31","SA_F",8.918,"symb",36.1729937957093,"701_31",79.1086942228472,-145.611908291604,305.157007800328
"83","CFSA6","700_28_1","8",673,28,"T90","F","SSID","A","700","28","SA_F",9.068,"symb",20.8760854307625,"673_28",47.4183976462884,-187.290254598068,292.448746346672
"84","CFSA7","2800_31_1","10.5",3309,31,"T90","F","SSID","A","2800","31","SA_F",8.812,"symb",62.2471181735868,"3309_31",-73.5022933536467,-327.838639746625,165.210482033447
"85","CFSB1","280_31_1","4.5",311,31,"T90","F","SSID","B","280","31","SB_F",12.31,"symb",50.6018859440632,"311_31",241.263927089391,-4.50846784270767,484.868323588435
"86","CFSB10","400_31_1","6.5",405,31,"T90","F","SSID","B","400","31","SB_F",11.296,"symb",36.6619248877743,"405_31",75.6255247929859,-171.7969816498,313.534169242436
"87","CFSB13","400_28_1","6",447,28,"T90","F","SSID","B","400","28","SB_F",12.975,"symb",38.1457507757648,"447_28",43.9352282164271,-194.036685677825,289.597696082974
"88","CFSB2","280_28_1","4",288,28,"T90","F","SSID","B","280","28","SB_F",10.805,"symb",36.9937175473404,"288_28",209.573630512832,-16.9614966299977,443.808224041417
"89","CFSB3","2800_28_1","10",3285,28,"T90","F","SSID","B","2800","28","SB_F",9.702,"symb",46.5147652983964,"3285_28",-105.192589930206,-338.654699719947,137.88608259995
"90","CFSB5","700_31_1","8.5",701,31,"T90","F","SSID","B","700","31","SB_F",11.185,"symb",35.4261503479976,"701_31",79.1086942228472,-145.611908291604,305.157007800328
"91","CFSB5","700_31_1","8.5",701,31,"T90","F","SSID","B","700","31","SB_F",11.185,"symb",35.4261503479976,"701_31",79.1086942228472,-145.611908291604,305.157007800328
"92","CFSB6","700_28_1","8",673,28,"T90","F","SSID","B","700","28","SB_F",12.153,"symb",26.8407641196992,"673_28",47.4183976462884,-187.290254598068,292.448746346672
"93","CFSB6","700_28_1","8",673,28,"T90","F","SSID","B","700","28","SB_F",12.153,"symb",26.8407641196992,"673_28",47.4183976462884,-187.290254598068,292.448746346672
"94","CFSB6","700_28_1","8",673,28,"T90","F","SSID","B","700","28","SB_F",12.153,"symb",26.8407641196992,"673_28",47.4183976462884,-187.290254598068,292.448746346672
"95","CFSB7","2800_31_1","10.5",3309,31,"T90","F","SSID","B","2800","31","SB_F",11.199,"symb",107.363938566426,"3309_31",-73.5022933536467,-327.838639746625,165.210482033447
"96","CFSC14","400_28_2","6",447,28,"T90","F","SSID","C","400","28","SC_F",10.229,"symb",43.4604512485822,"447_28",43.9352282164271,-194.036685677825,289.597696082974
"97","CFSC2","280_28_2","4",288,28,"T90","F","SSID","C","280","28","SC_F",8.893,"symb",75.3760025581721,"288_28",209.573630512832,-16.9614966299977,443.808224041417
"98","CFSC5","700_31_2","8.5",701,31,"T90","F","SSID","C","700","31","SC_F",9.915,"symb",97.3083119256452,"701_31",79.1086942228472,-145.611908291604,305.157007800328
"99","CFSC6","700_28_2","8",673,28,"T90","F","SSID","C","700","28","SC_F",8.956,"symb",22.5676177028987,"673_28",47.4183976462884,-187.290254598068,292.448746346672
