"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci"
"65","CFPD6","400_28_2","447_28",447,28,"T90","F","PSTR","D","400","28","PD_F",8.239,"chla",164.945,172.469819224815,123.223124190188,221.258006386482
"66","CFPD7","2800_31_2","3309_31",3309,31,"T90","F","PSTR","D","2800","31","PD_F",11.931,"chla",10.083,12.3683650012468,-26.1642781297957,48.0894839210114
"67","CFPD8","2800_28_2","3285_28",3285,28,"T90","F","PSTR","D","2800","28","PD_F",7.965,"chla",32.806,73.3394042770456,47.5142594305289,100.899561102387
"68","CFPD9","700_28_2","673_28",673,28,"T90","F","PSTR","D","700","28","PD_F",7.055,"chla",19.637,84.1147547513554,55.2356300294535,110.524148226994
"69","CFPE10","280_28_1","288_28",288,28,"T90","F","PSTR","E","280","28","PE_F",11.543,"chla",22.028,193.515187630814,167.65421228467,220.10140129246
"70","CFPE12","700_28_2","673_28",673,28,"T90","F","PSTR","E","700","28","PE_F",13.964,"chla",14.818,84.1147547513554,55.2356300294535,110.524148226994
"71","CFPE14","280_28_2","288_28",288,28,"T90","F","PSTR","E","280","28","PE_F",8.052,"chla",133.943,193.515187630814,167.65421228467,220.10140129246
"72","CFPE2","280_28_3","288_28",288,28,"T90","F","PSTR","E","280","28","PE_F",10.804,"chla",28.079,193.515187630814,167.65421228467,220.10140129246
"73","CFPE40","2800_28_1","3285_28",3285,28,"T90","F","PSTR","E","2800","28","PE_F",9.408,"chla",35.975,73.3394042770456,47.5142594305289,100.899561102387
"74","CFPE42","2800_28_1","3285_28",3285,28,"T90","F","PSTR","E","2800","28","PE_F",9.626,"chla",80.703,73.3394042770456,47.5142594305289,100.899561102387
"75","CFPE6","700_28_3","673_28",673,28,"T90","F","PSTR","E","700","28","PE_F",10.186,"chla",50.272,84.1147547513554,55.2356300294535,110.524148226994
"76","CFPE8","2800_28_3","3285_28",3285,28,"T90","F","PSTR","E","2800","28","PE_F",11.411,"chla",37.497,73.3394042770456,47.5142594305289,100.899561102387
"77","CFPF1","280_31_3","311_31",311,31,"T90","F","PSTR","F","280","31","PF_F",10.667,"chla",65.921,110.072763647336,75.1448787767391,147.017083762057
"78","CFPF2","280_28_3","288_28",288,28,"T90","F","PSTR","F","280","28","PF_F",11.07,"chla",28.832,193.515187630814,167.65421228467,220.10140129246
"79","CFPF6","700_28_3","673_28",673,28,"T90","F","PSTR","F","700","28","PF_F",11.765,"chla",9.643,84.1147547513554,55.2356300294535,110.524148226994
"80","CFPF7","2800_31_3","3309_31",3309,31,"T90","F","PSTR","F","2800","31","PF_F",12.335,"chla",25.589,12.3683650012468,-26.1642781297957,48.0894839210114
"81","CFPF8","2800_28_3","3285_28",3285,28,"T90","F","PSTR","F","2800","28","PF_F",15.117,"chla",46.865,73.3394042770456,47.5142594305289,100.899561102387
"82","CFSA1","280_31_1","311_31",311,31,"T90","F","SSID","A","280","31","SA_F",10.283,"chla",99.083,90.1842163187291,54.3022585735131,126.470556348184
"83","CFSA10","2800_28_1","3285_28",3285,28,"T90","F","SSID","A","2800","28","SA_F",6.446,"chla",53.324,47.3119635808963,16.6234747528661,76.5609980433943
"84","CFSA14","280_28_1","288_28",288,28,"T90","F","SSID","A","280","28","SA_F",4.661,"chla",80.513,126.95054018612,94.2700209780709,157.9889512356
"85","CFSA2","400_28_1","447_28",447,28,"T90","F","SSID","A","400","28","SA_F",8.3,"chla",154.015,143.354575062682,112.229463331565,174.139398391504
"86","CFSA3","400_31_1","405_31",405,31,"T90","F","SSID","A","400","31","SA_F",10.181,"chla",55.632,90.959229938874,59.3008874873616,121.902141140236
"87","CFSA5","700_31_1","701_31",701,31,"T90","F","SSID","A","700","31","SA_F",8.918,"chla",106.384,81.6037712093467,51.3658809623304,110.742153465951
"88","CFSA6","700_28_1","673_28",673,28,"T90","F","SSID","A","700","28","SA_F",9.068,"chla",59.175,82.855655391087,53.2276156932015,110.155646495166
"89","CFSA7","2800_31_1","3309_31",3309,31,"T90","F","SSID","A","2800","31","SA_F",8.812,"chla",16.317,34.968564235001,4.25416483356331,64.6251519761964
"90","CFSB1","280_31_1","311_31",311,31,"T90","F","SSID","B","280","31","SB_F",12.31,"chla",137.614,90.1842163187291,54.3022585735131,126.470556348184
"91","CFSB10","400_31_1","405_31",405,31,"T90","F","SSID","B","400","31","SB_F",11.296,"chla",95.786,90.959229938874,59.3008874873616,121.902141140236
"92","CFSB13","400_28_1","447_28",447,28,"T90","F","SSID","B","400","28","SB_F",12.975,"chla",148.667,143.354575062682,112.229463331565,174.139398391504
"93","CFSB2","280_28_1","288_28",288,28,"T90","F","SSID","B","280","28","SB_F",10.805,"chla",151.102,126.95054018612,94.2700209780709,157.9889512356
"94","CFSB3","2800_28_1","3285_28",3285,28,"T90","F","SSID","B","2800","28","SB_F",9.702,"chla",36.873,47.3119635808963,16.6234747528661,76.5609980433943
"95","CFSB5","700_31_1","701_31",701,31,"T90","F","SSID","B","700","31","SB_F",11.185,"chla",101.591,81.6037712093467,51.3658809623304,110.742153465951
"96","CFSB5","700_31_1","701_31",701,31,"T90","F","SSID","B","700","31","SB_F",11.185,"chla",101.591,81.6037712093467,51.3658809623304,110.742153465951
"97","CFSB6","700_28_1","673_28",673,28,"T90","F","SSID","B","700","28","SB_F",12.153,"chla",62.333,82.855655391087,53.2276156932015,110.155646495166
"98","CFSB6","700_28_1","673_28",673,28,"T90","F","SSID","B","700","28","SB_F",12.153,"chla",62.333,82.855655391087,53.2276156932015,110.155646495166
"99","CFSB6","700_28_1","673_28",673,28,"T90","F","SSID","B","700","28","SB_F",12.153,"chla",62.333,82.855655391087,53.2276156932015,110.155646495166
"100","CFSB7","2800_31_1","3309_31",3309,31,"T90","F","SSID","B","2800","31","SB_F",11.199,"chla",32.569,34.968564235001,4.25416483356331,64.6251519761964
"101","CFSC14","400_28_2","447_28",447,28,"T90","F","SSID","C","400","28","SC_F",10.229,"chla",221.143,143.354575062682,112.229463331565,174.139398391504
"102","CFSC2","280_28_2","288_28",288,28,"T90","F","SSID","C","280","28","SC_F",8.893,"chla",156.962,126.95054018612,94.2700209780709,157.9889512356
"103","CFSC5","700_31_2","701_31",701,31,"T90","F","SSID","C","700","31","SC_F",9.915,"chla",151.218,81.6037712093467,51.3658809623304,110.742153465951
"104","CFSC6","700_28_2","673_28",673,28,"T90","F","SSID","C","700","28","SC_F",8.956,"chla",60.892,82.855655391087,53.2276156932015,110.155646495166
"105","CFSC7","2800_31_2","3309_31",3309,31,"T90","F","SSID","C","2800","31","SC_F",9.433,"chla",100.383,34.968564235001,4.25416483356331,64.6251519761964
"106","CFSC9","2800_28_2","3285_28",3285,28,"T90","F","SSID","C","2800","28","SC_F",9.262,"chla",54.717,47.3119635808963,16.6234747528661,76.5609980433943
"107","CFSD1","280_31_2","311_31",311,31,"T90","F","SSID","D","280","31","SD_F",10.682,"chla",29.713,90.1842163187291,54.3022585735131,126.470556348184
"108","CFSD11","280_28_2","288_28",288,28,"T90","F","SSID","D","280","28","SD_F",10.905,"chla",152.771,126.95054018612,94.2700209780709,157.9889512356
"109","CFSD3","400_31_2","405_31",405,31,"T90","F","SSID","D","400","31","SD_F",10.206,"chla",11.22,90.959229938874,59.3008874873616,121.902141140236
"110","CFSD4","280_28_3","288_28",288,28,"T90","F","SSID","D","280","28","SD_F",11.381,"chla",151.004,126.95054018612,94.2700209780709,157.9889512356
"111","CFSD5","700_31_2","701_31",701,31,"T90","F","SSID","D","700","31","SD_F",12.59,"chla",16.27,81.6037712093467,51.3658809623304,110.742153465951
"112","CFSD6","700_28_2","673_28",673,28,"T90","F","SSID","D","700","28","SD_F",9.677,"chla",140.083,82.855655391087,53.2276156932015,110.155646495166
"113","CFSD7","2800_31_2","3309_31",3309,31,"T90","F","SSID","D","2800","31","SD_F",11.137,"chla",41.255,34.968564235001,4.25416483356331,64.6251519761964
"114","CFSD8","2800_28_2","3285_28",3285,28,"T90","F","SSID","D","2800","28","SD_F",8.568,"chla",51.169,47.3119635808963,16.6234747528661,76.5609980433943
"115","CFSD9","400_28_2","447_28",447,28,"T90","F","SSID","D","400","28","SD_F",11.455,"chla",154.612,143.354575062682,112.229463331565,174.139398391504
"116","CFSE1","280_31_3","311_31",311,31,"T90","F","SSID","E","280","31","SE_F",8.451,"chla",72.003,90.1842163187291,54.3022585735131,126.470556348184
"117","CFSE11","400_28_3","447_28",447,28,"T90","F","SSID","E","400","28","SE_F",1.88,"chla",208.94,143.354575062682,112.229463331565,174.139398391504
"118","CFSE3","400_31_3","405_31",405,31,"T90","F","SSID","E","400","31","SE_F",9.104,"chla",58.749,90.959229938874,59.3008874873616,121.902141140236
"119","CFSE5","700_31_3","701_31",701,31,"T90","F","SSID","E","700","31","SE_F",9.119,"chla",37.308,81.6037712093467,51.3658809623304,110.742153465951
"120","CFSE6","700_28_3","673_28",673,28,"T90","F","SSID","E","700","28","SE_F",8.178,"chla",48.034,82.855655391087,53.2276156932015,110.155646495166
"121","CFSE7","2800_31_3","3309_31",3309,31,"T90","F","SSID","E","2800","31","SE_F",8.936,"chla",13.658,34.968564235001,4.25416483356331,64.6251519761964
"122","CFSE8","2800_28_3","3285_28",3285,28,"T90","F","SSID","E","2800","28","SE_F",6.848,"chla",7.311,47.3119635808963,16.6234747528661,76.5609980433943
"123","CFSF11","400_28_3","447_28",447,28,"T90","F","SSID","F","400","28","SF_F",10.117,"chla",171.593,143.354575062682,112.229463331565,174.139398391504
"124","CFSF16","2800_28_3","3285_28",3285,28,"T90","F","SSID","F","2800","28","SF_F",11.373,"chla",27.908,47.3119635808963,16.6234747528661,76.5609980433943
"125","CFSF2","280_28_3","288_28",288,28,"T90","F","SSID","F","280","28","SF_F",10.837,"chla",111.002,126.95054018612,94.2700209780709,157.9889512356
"126","CFSF3","400_31_3","405_31",405,31,"T90","F","SSID","F","400","31","SF_F",7.627,"chla",252.923,90.959229938874,59.3008874873616,121.902141140236
"127","CFSF5","700_31_3","701_31",701,31,"T90","F","SSID","F","700","31","SF_F",9.508,"chla",126.153,81.6037712093467,51.3658809623304,110.742153465951
"128","CFSF6","700_28_3","673_28",673,28,"T90","F","SSID","F","700","28","SF_F",10.336,"chla",142.688,82.855655391087,53.2276156932015,110.155646495166
