"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","treat2","mean","lowerci","upperci"
"46","CFPA9","700_28_2","8",673,28,"T90","F","PSTR","A","700","28","PA_F",14.665,"pro",1.009,"673_28",0.453274280766211,0.374060926147435,0.53170397765756
"47","CFPB1","400_28_1","6",447,28,"T90","F","PSTR","B","400","28","PB_F",7.942,"pro",0.291,"447_28",0.420098654508163,0.305217807256768,0.530613275904194
"48","CFPB12","2800_28_1","10",3285,28,"T90","F","PSTR","B","2800","28","PB_F",9.46,"pro",0.401,"3285_28",0.417544485922508,0.344725857740397,0.493960203320356
"49","CFPB2","280_28_1","4",288,28,"T90","F","PSTR","B","280","28","PB_F",10.94,"pro",0.788,"288_28",0.561860910972216,0.487204526365343,0.635837093773128
"50","CFPB3","400_31_1","6.5",405,31,"T90","F","PSTR","B","400","31","PB_F",12.899,"pro",0.323,"405_31",0.176189352345746,0.0608567801457908,0.288575231939607
"51","CFPB5","700_31_1","8.5",701,31,"T90","F","PSTR","B","700","31","PB_F",9.71,"pro",0.365,"701_31",0.209364978603794,0.119573814858652,0.296448489231018
"52","CFPB6","700_28_1","8",673,28,"T90","F","PSTR","B","700","28","PB_F",11.396,"pro",1.069,"673_28",0.453274280766211,0.374060926147435,0.53170397765756
"53","CFPB7","2800_31_1","10.5",3309,31,"T90","F","PSTR","B","2800","31","PB_F",8.536,"pro",0.124,"3309_31",0.173635183760091,0.0840721949935906,0.258798312170217
"54","CFPB9","280_31_1","4.5",311,31,"T90","F","PSTR","B","280","31","PB_F",9.076,"pro",0.138,"311_31",0.3179516088098,0.232349785862873,0.40067237352119
"55","CFPC10","400_28_2","6",447,28,"T90","F","PSTR","C","400","28","PC_F",10.171,"pro",0.066,"447_28",0.420098654508163,0.305217807256768,0.530613275904194
"56","CFPC11","280_28_2","4",288,28,"T90","F","PSTR","C","280","28","PC_F",12.342,"pro",0.832,"288_28",0.561860910972216,0.487204526365343,0.635837093773128
"57","CFPC12","700_31_2","8.5",701,31,"T90","F","PSTR","C","700","31","PC_F",11.884,"pro",0.259,"701_31",0.209364978603794,0.119573814858652,0.296448489231018
"58","CFPC2","280_28_2","4",288,28,"T90","F","PSTR","C","280","28","PC_F",10.872,"pro",0.724,"288_28",0.561860910972216,0.487204526365343,0.635837093773128
