"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","treat2","mean","lowerci","upperci"
"26","CFAE15","280_28_3","4",288,28,"T90","F","PAST","E","280","28","AE_F",8.097,"chla",63.892,"288_28",104.215936563824,75.9603698922012,131.347315291952
"27","CFAE8","2800_28_3","10",3285,28,"T90","F","PAST","E","2800","28","AE_F",11.355,"chla",8.417,"3285_28",17.1339426630662,-10.8231000572511,45.6034840325814
"28","CFAF2","280_28_3","4",288,28,"T90","F","PAST","F","280","28","AF_F",10.805,"chla",96.569,"288_28",104.215936563824,75.9603698922012,131.347315291952
"29","CFAF3","400_31_3","6.5",405,31,"T90","F","PAST","F","400","31","AF_F",10.534,"chla",35.792,"405_31",84.2725259810361,53.9099697677423,116.00717313333
"30","CFAF5","700_31_3","8.5",701,31,"T90","F","PAST","F","700","31","AF_F",10.342,"chla",96.989,"701_31",83.1848712933958,54.0525619854603,111.303771607486
"31","CFAF6","700_28_3","8",673,28,"T90","F","PAST","F","700","28","AF_F",10.115,"chla",51.663,"673_28",44.9547336107901,16.8185911142461,74.2358400659965
"32","CFAF8","2800_28_3","10",3285,28,"T90","F","PAST","F","2800","28","AF_F",9.643,"chla",9.929,"3285_28",17.1339426630662,-10.8231000572511,45.6034840325814
"33","CFAF9","400_28_3","6",447,28,"T90","F","PAST","F","400","28","AF_F",5.018,"chla",29.005,"447_28",46.0423882984304,19.6232529376234,71.7174311761361
"34","CFPA1","280_31_1","4.5",311,31,"T90","F","PSTR","A","280","31","PA_F",12.372,"chla",29.623,"311_31",110.537531559967,82.8789476622093,136.761597108786
"35","CFPA10","2800_28_2","10",3285,28,"T90","F","PSTR","A","2800","28","PA_F",14.24,"chla",65.144,"3285_28",80.8621396767142,56.9104870258361,105.990185603622
"36","CFPA11","400_31_2","6.5",405,31,"T90","F","PSTR","A","400","31","PA_F",10.967,"chla",5.5,"405_31",47.1432192869261,8.47687574486893,83.474528617464
"37","CFPA12","280_31_2","4.5",311,31,"T90","F","PSTR","A","280","31","PA_F",18.462,"chla",7.846,"311_31",110.537531559967,82.8789476622093,136.761597108786
"38","CFPA2","280_28_1","4",288,28,"T90","F","PSTR","A","280","28","PA_F",11.998,"chla",166.62,"288_28",193.651169611848,169.872358912426,217.180306622165
"39","CFPA20","700_31_2","8.5",701,31,"T90","F","PSTR","A","700","31","PA_F",10.441,"chla",28.552,"701_31",6.90855207626134,-22.0180343249171,35.5870292560952
"40","CFPA21","280_28_2","4",288,28,"T90","F","PSTR","A","280","28","PA_F",16.909,"chla",330.829,"288_28",193.651169611848,169.872358912426,217.180306622165
"41","CFPA22","2800_31_2","10.5",3309,31,"T90","F","PSTR","A","2800","31","PA_F",9.655,"chla",6.684,"3309_31",-2.25149837516719,-30.6319046264567,24.7602233746027
"42","CFPA3","400_31_1","6.5",405,31,"T90","F","PSTR","A","400","31","PA_F",12.671,"chla",4.747,"405_31",47.1432192869261,8.47687574486893,83.474528617464
"43","CFPA6","700_28_1","8",673,28,"T90","F","PSTR","A","700","28","PA_F",11.948,"chla",78.813,"673_28",90.0221901281427,64.432175363397,114.934765354877
"44","CFPA7","2800_31_1","10.5",3309,31,"T90","F","PSTR","A","2800","31","PA_F",11.518,"chla",4.141,"3309_31",-2.25149837516719,-30.6319046264567,24.7602233746027
"45","CFPA8","2800_28_1","10",3285,28,"T90","F","PSTR","A","2800","28","PA_F",7.292,"chla",38.96,"3285_28",80.8621396767142,56.9104870258361,105.990185603622
"46","CFPA9","700_28_2","8",673,28,"T90","F","PSTR","A","700","28","PA_F",14.665,"chla",124.357,"673_28",90.0221901281427,64.432175363397,114.934765354877
"47","CFPB1","400_28_1","6",447,28,"T90","F","PSTR","B","400","28","PB_F",7.942,"chla",205.345,"447_28",130.256857338807,93.3180155782298,165.909264241307
"48","CFPB12","2800_28_1","10",3285,28,"T90","F","PSTR","B","2800","28","PB_F",9.46,"chla",60.801,"3285_28",80.8621396767142,56.9104870258361,105.990185603622
"49","CFPB2","280_28_1","4",288,28,"T90","F","PSTR","B","280","28","PB_F",10.94,"chla",192.345,"288_28",193.651169611848,169.872358912426,217.180306622165
"50","CFPB3","400_31_1","6.5",405,31,"T90","F","PSTR","B","400","31","PB_F",12.899,"chla",5.424,"405_31",47.1432192869261,8.47687574486893,83.474528617464
"51","CFPB5","700_31_1","8.5",701,31,"T90","F","PSTR","B","700","31","PB_F",9.71,"chla",26.187,"701_31",6.90855207626134,-22.0180343249171,35.5870292560952
"52","CFPB6","700_28_1","8",673,28,"T90","F","PSTR","B","700","28","PB_F",11.396,"chla",221.579,"673_28",90.0221901281427,64.432175363397,114.934765354877
"53","CFPB7","2800_31_1","10.5",3309,31,"T90","F","PSTR","B","2800","31","PB_F",8.536,"chla",23.009,"3309_31",-2.25149837516719,-30.6319046264567,24.7602233746027
