date,treat,temp,pco2,value,param
11/10/2015,311_31,31,311,337.9,mpco2
11/10/2015,311_31,31,311,NA,mpco2
11/10/2015,3285_28,28,3285,2798.2,mpco2
11/10/2015,3285_28,28,3285,3480.5,mpco2
11/10/2015,3285_28,28,3285,3071.5,mpco2
11/10/2015,3309_31,31,3309,3015.7,mpco2
11/10/2015,3309_31,31,3309,3204.1,mpco2
11/10/2015,3309_31,31,3309,3287.5,mpco2
11/10/2015,447_28,28,447,524.6,mpco2
11/10/2015,447_28,28,447,505.4,mpco2
11/10/2015,447_28,28,447,496.6,mpco2
11/10/2015,405_31,31,405,565.2,mpco2
11/10/2015,405_31,31,405,604.5,mpco2
11/10/2015,405_31,31,405,614.8,mpco2
11/10/2015,673_28,28,673,698,mpco2
11/10/2015,673_28,28,673,719.2,mpco2
11/10/2015,673_28,28,673,712.2,mpco2
11/10/2015,701_31,31,701,708.8,mpco2
11/10/2015,701_31,31,701,724.8,mpco2
11/10/2015,701_31,31,701,733.7,mpco2
12/16/2015,288_28,28,288,491,mpco2
12/16/2015,288_28,28,288,519.8,mpco2
12/16/2015,288_28,28,288,436.9,mpco2
12/16/2015,311_31,31,311,342.4,mpco2
12/16/2015,311_31,31,311,376.7,mpco2
12/16/2015,311_31,31,311,325.6,mpco2
12/16/2015,3285_28,28,3285,3751.4,mpco2
12/16/2015,3285_28,28,3285,3282.3,mpco2
12/16/2015,3285_28,28,3285,3352,mpco2
12/16/2015,3309_31,31,3309,3240.8,mpco2
12/16/2015,3309_31,31,3309,2773,mpco2
12/16/2015,3309_31,31,3309,2835.9,mpco2
12/16/2015,447_28,28,447,553,mpco2
12/16/2015,447_28,28,447,501,mpco2
12/16/2015,447_28,28,447,500.4,mpco2
12/16/2015,405_31,31,405,702,mpco2
12/16/2015,405_31,31,405,701.9,mpco2
12/16/2015,405_31,31,405,658.4,mpco2
12/16/2015,673_28,28,673,755.3,mpco2
12/16/2015,673_28,28,673,729.9,mpco2
12/16/2015,673_28,28,673,630.6,mpco2
12/16/2015,701_31,31,701,663,mpco2
12/16/2015,701_31,31,701,592.7,mpco2
12/16/2015,701_31,31,701,548.6,mpco2
9/19/2015,288_28,28,288,367,mpco2
9/19/2015,288_28,28,288,422.2,mpco2
9/19/2015,288_28,28,288,379.1,mpco2
9/19/2015,311_31,31,311,319.5,mpco2
9/19/2015,311_31,31,311,320.8,mpco2
9/19/2015,311_31,31,311,319.3,mpco2
9/19/2015,3285_28,28,3285,2999.6,mpco2
9/19/2015,3285_28,28,3285,2831.2,mpco2
9/19/2015,3285_28,28,3285,2442.3,mpco2
9/19/2015,3309_31,31,3309,3108.8,mpco2
9/19/2015,3309_31,31,3309,3735.7,mpco2
9/19/2015,3309_31,31,3309,2870.3,mpco2
9/19/2015,447_28,28,447,467.6,mpco2
9/19/2015,447_28,28,447,470.7,mpco2
9/19/2015,447_28,28,447,443.6,mpco2
9/19/2015,405_31,31,405,351.6,mpco2
9/19/2015,405_31,31,405,376.8,mpco2
9/19/2015,405_31,31,405,357.7,mpco2
9/19/2015,673_28,28,673,718.3,mpco2
9/19/2015,673_28,28,673,676.8,mpco2
9/19/2015,673_28,28,673,717.4,mpco2
9/19/2015,701_31,31,701,714.9,mpco2
9/19/2015,701_31,31,701,671.5,mpco2
9/19/2015,701_31,31,701,776,mpco2
11/20/2015,288_28,28,288,344.3,mpco2
11/20/2015,288_28,28,288,370,mpco2
11/20/2015,288_28,28,288,371.9,mpco2
11/20/2015,311_31,31,311,275.6,mpco2
11/20/2015,311_31,31,311,280.5,mpco2
11/20/2015,311_31,31,311,274.6,mpco2
11/20/2015,3285_28,28,3285,3674.9,mpco2
11/20/2015,3285_28,28,3285,3278.9,mpco2
11/20/2015,3285_28,28,3285,3419.2,mpco2
11/20/2015,3309_31,31,3309,2895.6,mpco2
11/20/2015,3309_31,31,3309,2680.7,mpco2
11/20/2015,3309_31,31,3309,2959.2,mpco2
11/20/2015,447_28,28,447,427.1,mpco2
11/20/2015,447_28,28,447,441.8,mpco2
11/20/2015,447_28,28,447,456.7,mpco2
11/20/2015,405_31,31,405,461.5,mpco2
11/20/2015,405_31,31,405,493.2,mpco2
11/20/2015,405_31,31,405,469.7,mpco2
11/20/2015,673_28,28,673,703.8,mpco2
11/20/2015,673_28,28,673,743.7,mpco2
11/20/2015,673_28,28,673,739.7,mpco2
11/20/2015,701_31,31,701,556.4,mpco2
11/20/2015,701_31,31,701,602.5,mpco2
11/20/2015,701_31,31,701,569,mpco2
10/20/2015,288_28,28,288,233.3,mpco2
10/20/2015,288_28,28,288,231.8,mpco2
10/20/2015,288_28,28,288,217.2,mpco2
10/20/2015,311_31,31,311,220.7,mpco2
10/20/2015,311_31,31,311,216.5,mpco2
10/20/2015,311_31,31,311,213.9,mpco2
10/20/2015,3285_28,28,3285,3093.9,mpco2
10/20/2015,3285_28,28,3285,3115.1,mpco2
10/20/2015,3285_28,28,3285,3168.3,mpco2
10/20/2015,3309_31,31,3309,3182.2,mpco2
10/20/2015,3309_31,31,3309,3230.1,mpco2
10/20/2015,3309_31,31,3309,3281.8,mpco2
10/20/2015,447_28,28,447,296.9,mpco2
10/20/2015,447_28,28,447,285.5,mpco2
