"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","den","pro","chla","sum_bw5","red_bw1","green_bw1","blue_bw1","sum_bw1","red_bw2","green_bw2","blue_bw2","sum_bw2","red_bw3","green_bw3","blue_bw3","sum_bw3","red_bw4","green_bw4","blue_bw4","sum_bw4","red_bw5","green_bw5","blue_bw5","rate","carb(mg/cm2)_avg","lipid(mg/cm2)_avg","count","offset"
"11","CFAB3","400_31_1","405_31",405,31,"T90","F","A","B","400","31","AB_F",11.497,NA,0.043,35.844,192.3,162.8,131.3,37.6,331.7,133,103.1,25.5,261.6,133.5,101.8,33.2,268.5,143.5,133.4,72.5,349.4,88.1,76.4,27.8,-0.319,0.329042058,0.159124026,"#DIV/0!",0.478
"12","CFAB5","700_31_1","701_31",701,31,"T90","F","A","B","700","31","AB_F",11.136,NA,0.12,97.157,407.8,144.5,107.6,24.6,276.7,123.3,89.9,31.1,244.3,158.4,115.4,46.6,320.4,210.6,184.2,122.5,517.3,175.7,148.6,83.5,-0.553,0.40994543,0.147105335,"#DIV/0!",0.494
"13","CFAB8","2800_28_1","3285_28",3285,28,"T90","F","A","B","2800","28","AB_F",9.958,5362878.661,0.13,28.351,437.8,160.9,124.6,28.4,313.9,104.3,67.6,26.8,198.7,123.3,86.4,39.5,249.2,156.9,118.9,56.8,332.6,187.8,157.7,92.3,-0.368,0.504552339,0.064006203,"9536667",0.552
"14","CFAC1","280_31_2","311_31",311,31,"T90","F","A","C","280","31","AC_F",8.561,7818658.942,0.17,141.125,192.3,91.7,56.1,11.4,159.2,138.1,103.7,29.4,271.2,121.9,86.6,20,228.5,141.3,117.4,47.2,305.9,94.9,77.2,20.2,0.268,0.402282024,0.137282051,"11953333",0.642
"15","CFAC12","400_28_2","447_28",447,28,"T90","F","A","C","400","28","AC_F",9.083,9155565.342,0.089,76.26,341,NA,NA,NA,NA,144.6,103.1,38.2,285.9,100.9,65.2,22.1,188.2,114.5,94.5,30.9,239.9,152.2,127.5,61.3,-0.449,0.371511025,0.121468796,"10266667",0.881
"16","CFAC15","400_28","447_28",447,28,"T0","F","A","C","T0","T0","AC_F",10.686,2708590.679,0.316,44.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.642438919,0.100365848,"3573333",0.749
"17","CFAC2","280_28_2","288_28",288,28,"T90","F","A","C","280","28","AC_F",9.69,10127205.81,0.161,93.196,265.6,104.5,68,2.6,175.1,115.1,84.4,20.4,219.9,96.1,56.8,7.8,160.7,92.2,58.3,11.5,162,145.6,96.1,23.9,0.101,0.8390103,0.18618538,"8460000",1.187
"18","CFAC3","400_31_2","405_31",405,31,"T90","F","A","C","400","31","AC_F",10.757,5945336.226,0.07,47.44,153.1,118.3,78,14.6,210.9,115.1,84.4,20.4,219.9,146.8,105.4,34.6,286.8,128,111.6,59,298.6,68.3,53.9,30.9,0.104,0.197952583,0.084289501,"11420000",0.511
"19","CFAC5","700_31_2","701_31",701,31,"T90","F","A","C","700","31","AC_F",11.743,1859831.389,0.025,77.802,329.6,154.5,118.1,36.1,308.7,120.9,91.7,18.3,230.9,156.1,118.9,41,316,210.4,182.5,122.4,515.3,149,113,67.6,0.105,0.184901952,0.148374668,"3900000",0.468
"20","CFAC6","700_28_2","673_28",673,28,"T90","F","A","C","700","28","AC_F",10.222,8725233.157,0.122,26.419,463.3,179.4,141.6,39.6,360.6,117.4,84.7,17.4,219.5,111.7,70.2,27,208.9,170,132.7,63.4,366.1,204.7,172,86.6,-0.17,0.654324183,0.122342722,"15926667",0.538
"21","CFAC8","2800_28_2","3285_28",3285,28,"T90","F","A","C","2800","28","AC_F",9.302,7741990.97,0.09,20.737,442.2,160.5,126.1,36.9,323.5,111.4,79.6,16.3,207.3,109.8,72.2,19.6,201.6,147.9,115.5,55.1,318.5,191.4,161,89.8,0.079,0.396461911,0.072591537,"12860000",0.591
"22","CFAD11","400_28","447_28",447,28,"T0","F","A","D","T0","T0","AD_F",10.54933333,2022497.472,0.336,99.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.890483184,0.138639564,"3810000",0.521
"23","CFAD11","400_28","447_28",447,28,"T0","F","A","D","T0","T0","AD_F",10.54933333,2022497.472,0.336,99.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.890483184,0.138639564,"3810000",0.521
"24","CFAD12","400_28_2","447_28",447,28,"T90","F","A","D","400","28","AD_F",5.764,5618783.252,0.275,120.172,232.4,NA,NA,NA,NA,104.7,63.2,14.7,182.6,102.5,66.3,19.3,188.1,71.7,44.4,14.1,130.2,118.9,85.3,28.2,-0.056,0.6363184,0.152609972,"5783333",0.954
"25","CFAD2","280_28_2","288_28",288,28,"T90","F","A","D","280","28","AD_F",8.646,4812398.797,0.173,50.097,307.3,147.4,115.8,17.8,281,101.6,65.6,17.9,185.1,97.1,63.4,16.4,176.9,118,78.9,18,214.9,159.1,116.2,32,-0.399,0.623476143,0.115535049,"7430000",0.636
"26","CFAD5","700_31_2","701_31",701,31,"T90","F","A","D","700","31","AD_F",9.903,2283506.126,0.072,153.354,212.2,129,95.1,7.1,231.2,117.2,85.4,24.1,226.7,174.2,134.1,43.9,352.2,206.5,184,94.5,485,102.9,83.6,25.7,0.274,0.000735213,0.078126434,"4038000",0.555
"27","CFAD6","700_28_2","673_28",673,28,"T90","F","A","D","700","28","AD_F",8.446,5529499.98,0.109,26.367,425.7,161.9,126.5,22.3,310.7,89,56.9,16.4,162.3,113.1,74.7,32.9,220.7,154.4,118.7,45.9,319,192.2,168.5,65,-0.774,0.755506713,0.075443369,"8340000",0.651
"28","CFAD8","2800_28_2","3285_28",3285,28,"T90","F","A","D","2800","28","AD_F",9.366,7286756.593,0.258,21.158,328.5,148,113.3,16.7,278,72.1,45.7,9.1,126.9,94.4,65.7,20,180.1,136.1,101.4,37.8,275.3,155.5,129.6,43.4,-0.713,1.003130945,0.129487411,"12186667",0.587
