"","X","coral","tank","temp2","treat","pCO2","temp","pco2","species","colony","reefzone","SA","le","tp","rate","fpco2","ftemp","mean","lowerci","upperci"
"1799",1741,"CNPA1","400_28_1",28,"400_28",408.25,28,"cur","P","PA_N","N",9.378,NA,"total",0.192,400,"28",0.503656479003214,0.209393869504415,0.828317732122849
"1800",1742,"CNPA13","700_28_1",28,"700_28",707.6,28,"eoc","P","PA_N","N",10.623,NA,"total",-0.073,700,"28",0.664731300600942,0.442873381932341,0.870605803339839
"1801",1743,"CNPA2","280_28_1",28,"280_28",302.69,28,"pre","P","PA_N","N",10.66,NA,"total",2.261,280,"28",1.19778998765564,0.988990858603439,1.40788309740447
"1804",1746,"CNPA6","2800_28_1",28.1,"2800_28",3369.78,28,"ext","P","PA_N","N",13.452,NA,"total",0.097,2800,"28",0.180968248700895,-0.0151114177808892,0.373937549814897
"1806",1748,"CNPB1","400_28_1",28,"400_28",408.25,28,"cur","P","PB_N","N",11.973,NA,"total",1.786,400,"28",0.503656479003214,0.209393869504415,0.828317732122849
"1808",1750,"CNPB2","280_28_1",28,"280_28",302.69,28,"pre","P","PB_N","N",13.278,NA,"total",1.952,280,"28",1.19778998765564,0.988990858603439,1.40788309740447
"1809",1751,"CNPB20","280_31_1",31,"280_31",286.83,31,"pre","P","PB_N","N",2.963,NA,"total",0.418,280,"31",0.201522442492257,-0.0234034234227091,0.450413845385425
"1810",1752,"CNPB3","400_31_1",31.1,"400_31",434.02,31,"cur","P","PB_N","N",12.758,NA,"total",0.008,400,"31",-0.492611066160164,-0.800815597759678,-0.184246868904789
"1811",1753,"CNPB5","700_31_1",30.9,"700_31",666.85,31,"eoc","P","PB_N","N",13.166,NA,"total",0.208,700,"31",-0.331536244562436,-0.605981822591314,-0.0883520288441769
"1812",1754,"CNPB6","700_28_1",28,"700_28",707.6,28,"eoc","P","PB_N","N",11.874,NA,"total",0.834,700,"28",0.664731300600942,0.442873381932341,0.870605803339839
"1813",1755,"CNPB7","2800_31_1",30.9,"2800_31",3258.29,31,"ext","P","PB_N","N",11.55,NA,"total",-0.993,2800,"31",-0.815299296462483,-1.05788109544995,-0.564013022059186
"1814",1756,"CNPB8","2800_28_1",28.1,"2800_28",3369.78,28,"ext","P","PB_N","N",10.855,NA,"total",1.505,2800,"28",0.180968248700895,-0.0151114177808892,0.373937549814897
"1820",1762,"CNPC6","700_28_2",28.1,"700_28",707.17,28,"eoc","P","PC_N","N",9.106,NA,"total",-0.78,700,"28",0.664731300600942,0.442873381932341,0.870605803339839
"1822",1764,"CNPC8","2800_28_2",28.1,"2800_28",3336.47,28,"ext","P","PC_N","N",8.709,NA,"total",-1.068,2800,"28",0.180968248700895,-0.0151114177808892,0.373937549814897
"1823",1765,"CNPD1","280_31_2",30.9,"280_31",286.61,31,"pre","P","PD_N","N",11.375,NA,"total",0.855,280,"31",0.201522442492257,-0.0234034234227091,0.450413845385425
"1825",1767,"CNPD2","280_28_2",27.9,"280_28",314.65,28,"pre","P","PD_N","N",9.539,NA,"total",2.606,280,"28",1.19778998765564,0.988990858603439,1.40788309740447
"1826",1768,"CNPD3","400_31_2",31.1,"400_31",447.02,31,"cur","P","PD_N","N",10.293,NA,"total",0.453,400,"31",-0.492611066160164,-0.800815597759678,-0.184246868904789
"1827",1769,"CNPD5","700_31_2",30.9,"700_31",677.35,31,"eoc","P","PD_N","N",9.488,NA,"total",0.19,700,"31",-0.331536244562436,-0.605981822591314,-0.0883520288441769
"1828",1770,"CNPD6","700_28_2",28.1,"700_28",707.17,28,"eoc","P","PD_N","N",9.298,NA,"total",0.779,700,"28",0.664731300600942,0.442873381932341,0.870605803339839
"1829",1771,"CNPD7","2800_31_2",30.9,"2800_31",3301.59,31,"ext","P","PD_N","N",9.259,NA,"total",-0.35,2800,"31",-0.815299296462483,-1.05788109544995,-0.564013022059186
"1830",1772,"CNPD8","2800_28_2",28.1,"2800_28",3336.47,28,"ext","P","PD_N","N",10.323,NA,"total",0.426,2800,"28",0.180968248700895,-0.0151114177808892,0.373937549814897
"1831",1773,"CNPE1","280_31_3",30.9,"280_31",291.58,31,"pre","P","PE_N","N",9.047,NA,"total",0.297,280,"31",0.201522442492257,-0.0234034234227091,0.450413845385425
"1832",1774,"CNPE12","2800_31_3",31,"2800_31",3295.97,31,"ext","P","PE_N","N",10.657,NA,"total",-0.212,2800,"31",-0.815299296462483,-1.05788109544995,-0.564013022059186
"1834",1776,"CNPE2","280_28_3",27.9,"280_28",317.27,28,"pre","P","PE_N","N",9.957,NA,"total",1.949,280,"28",1.19778998765564,0.988990858603439,1.40788309740447
"1835",1777,"CNPE3","400_31_3",31.1,"400_31",459.07,31,"cur","P","PE_N","N",9.791,NA,"total",-1.699,400,"31",-0.492611066160164,-0.800815597759678,-0.184246868904789
"1836",1778,"CNPE5","700_31_3",30.9,"700_31",675.24,31,"eoc","P","PE_N","N",9.326,NA,"total",-0.416,700,"31",-0.331536244562436,-0.605981822591314,-0.0883520288441769
"1837",1779,"CNPE6","700_28_3",28.1,"700_28",689.5,28,"eoc","P","PE_N","N",9.914,NA,"total",1.464,700,"28",0.664731300600942,0.442873381932341,0.870605803339839
"1838",1780,"CNPE8","2800_28_3",28.1,"2800_28",3219.84,28,"ext","P","PE_N","N",9.476,NA,"total",-0.04,2800,"28",0.180968248700895,-0.0151114177808892,0.373937549814897
"1839",1781,"CNPF1","280_31_3",30.9,"280_31",291.58,31,"pre","P","PF_N","N",10.141,NA,"total",0.447,280,"31",0.201522442492257,-0.0234034234227091,0.450413845385425
"1841",1783,"CNPF2","280_28_3",27.9,"280_28",317.27,28,"pre","P","PF_N","N",12.097,NA,"total",2.526,280,"28",1.19778998765564,0.988990858603439,1.40788309740447
"1844",1786,"CNPF6","700_28_3",28.1,"700_28",689.5,28,"eoc","P","PF_N","N",9.59,NA,"total",1.264,700,"28",0.664731300600942,0.442873381932341,0.870605803339839
"1846",1788,"CNPF8","2800_28_3",28.1,"2800_28",3219.84,28,"ext","P","PF_N","N",13.066,NA,"total",0.709,2800,"28",0.180968248700895,-0.0151114177808892,0.373937549814897
"1849",1806,"CNSC13","400_28_2",28.1,"400_28",400.02,28,"cur","S","SC_N","N",5.035,NA,"total",0.208,400,"28",1.25590800433719,1.03823287874253,1.46782183207296
"1851",1821,"CNSE11","280_28_3",27.9,"280_28",317.27,28,"pre","S","SE_N","N",10.4,NA,"total",0.658,280,"28",1.10634136060847,0.872617389120444,1.34201026423052
"1863",1847,"CNTB8","2800_28_1",28.1,"2800_28",3369.78,28,"ext","T","TB_N","N",13.526,NA,"total",-0.29,2800,"28",-0.241240440738133,-0.650043936330931,0.177337207736405
"1873",1867,"CNTD5","700_31_2",30.9,"700_31",677.35,31,"eoc","T","TD_N","N",21.945,NA,"total",0.007,700,"31",0.0106738653974697,-0.565041090979494,0.600832127862077
"1874",1868,"CNTD6","700_28_2",28.1,"700_28",707.17,28,"eoc","T","TD_N","N",22.357,NA,"total",0.021,700,"28",0.0291505302343851,-0.397793283640731,0.464979515487643
"1876",1870,"CNTD8","2800_28_2",28.1,"2800_28",3336.47,28,"ext","T","TD_N","N",26.287,NA,"total",-0.196,2800,"28",-0.241240440738133,-0.650043936330931,0.177337207736405
"1877",1873,"CNTE15","280_31_3",30.9,"280_31",291.58,31,"pre","T","TE_N","N",30.404,NA,"total",0.173,280,"31",0.128987170373704,-0.303540750030225,0.583487344201285
"1883",1883,"CNTF6","700_28_3",28.1,"700_28",689.5,28,"eoc","T","TF_N","N",29.273,NA,"total",0.101,700,"28",0.0291505302343851,-0.397793283640731,0.464979515487643
"1885",1885,"CNTF8","2800_28_3",28.1,"2800_28",3219.84,28,"ext","T","TF_N","N",25.133,NA,"total",-0.195,2800,"28",-0.241240440738133,-0.650043936330931,0.177337207736405
