"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci"
"51",NA,NA,"311_31",311,31,NA,NA,"PSTR",NA,"280","31","PB_F",9.076,"symb",4026.13212208211,1863.45046919059,1455.6911490282,2285.64872184189
"52",NA,NA,"447_28",447,28,NA,NA,"PSTR",NA,"400","28","PC_F",10.171,"symb",1581.08332105915,82.9031653951205,-282.960970797656,457.137111050021
"53",NA,NA,"288_28",288,28,NA,NA,"PSTR",NA,"280","28","PC_F",12.342,"symb",126.963141363407,239.76993475491,-78.2717009166325,563.153736323722
"54",NA,NA,"701_31",701,31,NA,NA,"PSTR",NA,"700","31","PC_F",11.884,"symb",6059.39675090588,1884.64783552093,1475.43910092614,2320.19273424366
"55",NA,NA,"288_28",288,28,NA,NA,"PSTR",NA,"280","28","PC_F",10.872,"symb",126.821650156703,239.76993475491,-78.2717009166325,563.153736323722
"56",NA,NA,"673_28",673,28,NA,NA,"PSTR",NA,"700","28","PC_F",11.821,"symb",250.062377360661,260.967301085256,-61.0111662784487,587.147576232255
"57",NA,NA,"3285_28",3285,28,NA,NA,"PSTR",NA,"2800","28","PC_F",10.075,"symb",180.688033528089,-74.0769705578036,-395.063884604227,244.848805496039
"58",NA,NA,"3285_28",3285,28,NA,NA,"PSTR",NA,"2800","28","PD_F",7.24,"symb",46.1852411407076,-74.0769705578036,-395.063884604227,244.848805496039
"59",NA,NA,"288_28",288,28,NA,NA,"PSTR",NA,"280","28","PD_F",11.427,"symb",47.3192527214524,239.76993475491,-78.2717009166325,563.153736323722
"60",NA,NA,"701_31",701,31,NA,NA,"PSTR",NA,"700","31","PD_F",8.533,"symb",1164.86136911328,1884.64783552093,1475.43910092614,2320.19273424366
"61",NA,NA,"447_28",447,28,NA,NA,"PSTR",NA,"400","28","PD_F",8.239,"symb",68.1836663028563,82.9031653951205,-282.960970797656,457.137111050021
"62",NA,NA,"3309_31",3309,31,NA,NA,"PSTR",NA,"2800","31","PD_F",11.931,"symb",14.9871568114866,1549.60356387787,1139.56167909716,1958.75432219607
"63",NA,NA,"3285_28",3285,28,NA,NA,"PSTR",NA,"2800","28","PD_F",7.965,"symb",31.4805848967158,-74.0769705578036,-395.063884604227,244.848805496039
"64",NA,NA,"673_28",673,28,NA,NA,"PSTR",NA,"700","28","PD_F",7.055,"symb",34.0430429243602,260.967301085256,-61.0111662784487,587.147576232255
"65",NA,NA,"288_28",288,28,NA,NA,"PSTR",NA,"280","28","PE_F",11.543,"symb",58.213495118083,239.76993475491,-78.2717009166325,563.153736323722
"66",NA,NA,"673_28",673,28,NA,NA,"PSTR",NA,"700","28","PE_F",13.964,"symb",44.5177607587248,260.967301085256,-61.0111662784487,587.147576232255
"67",NA,NA,"288_28",288,28,NA,NA,"PSTR",NA,"280","28","PE_F",8.052,"symb",96.7145895859208,239.76993475491,-78.2717009166325,563.153736323722
"68",NA,NA,"288_28",288,28,NA,NA,"PSTR",NA,"280","28","PE_F",10.804,"symb",37.8839754829665,239.76993475491,-78.2717009166325,563.153736323722
"69",NA,NA,"3285_28",3285,28,NA,NA,"PSTR",NA,"2800","28","PE_F",9.408,"symb",46.3702240127722,-74.0769705578036,-395.063884604227,244.848805496039
"70",NA,NA,"3285_28",3285,28,NA,NA,"PSTR",NA,"2800","28","PE_F",9.626,"symb",61.9495277577666,-74.0769705578036,-395.063884604227,244.848805496039
"71",NA,NA,"673_28",673,28,NA,NA,"PSTR",NA,"700","28","PE_F",10.186,"symb",46.5969455481592,260.967301085256,-61.0111662784487,587.147576232255
"72",NA,NA,"3285_28",3285,28,NA,NA,"PSTR",NA,"2800","28","PE_F",11.411,"symb",37.129318568776,-74.0769705578036,-395.063884604227,244.848805496039
"73",NA,NA,"311_31",311,31,NA,NA,"PSTR",NA,"280","31","PF_F",10.667,"symb",260.44166338969,1863.45046919059,1455.6911490282,2285.64872184189
"74",NA,NA,"288_28",288,28,NA,NA,"PSTR",NA,"280","28","PF_F",11.07,"symb",37.4953746866723,239.76993475491,-78.2717009166325,563.153736323722
"75",NA,NA,"673_28",673,28,NA,NA,"PSTR",NA,"700","28","PF_F",11.765,"symb",19.5563851971436,260.967301085256,-61.0111662784487,587.147576232255
"76",NA,NA,"3309_31",3309,31,NA,NA,"PSTR",NA,"2800","31","PF_F",12.335,"symb",220.16892219427,1549.60356387787,1139.56167909716,1958.75432219607
"77",NA,NA,"3285_28",3285,28,NA,NA,"PSTR",NA,"2800","28","PF_F",15.117,"symb",21.3760169640071,-74.0769705578036,-395.063884604227,244.848805496039
"78",NA,NA,"311_31",311,31,NA,NA,"SSID",NA,"280","31","SA_F",10.283,"symb",25.5322138478209,179.637417507043,-181.9671063171,522.887609668217
"79",NA,NA,"3285_28",3285,28,NA,NA,"SSID",NA,"2800","28","SA_F",6.446,"symb",29.0884165019778,-163.376995987472,-492.739322513604,179.46295536877
"80",NA,NA,"288_28",288,28,NA,NA,"SSID",NA,"280","28","SA_F",4.661,"symb",48.9143760345091,150.469909325242,-195.346434286481,487.141294646646
"81",NA,NA,"447_28",447,28,NA,NA,"SSID",NA,"400","28","SA_F",8.3,"symb",67.410664328405,-6.39686003454761,-357.494500470534,314.838952588839
"82",NA,NA,"405_31",405,31,NA,NA,"SSID",NA,"400","31","SA_F",10.181,"symb",22.2460993680891,22.7706481472534,-334.240673312745,359.54204817583
"83",NA,NA,"701_31",701,31,NA,NA,"SSID",NA,"700","31","SA_F",8.918,"symb",36.1729937957093,200.834783837389,-152.136968896747,558.714837427517
"84",NA,NA,"673_28",673,28,NA,NA,"SSID",NA,"700","28","SA_F",9.068,"symb",20.8760854307625,171.667275655588,-156.051056439088,501.193679184439
"85",NA,NA,"3309_31",3309,31,NA,NA,"SSID",NA,"2800","31","SA_F",8.812,"symb",62.2471181735868,-134.209487805671,-479.852549977459,215.380107029889
"86",NA,NA,"311_31",311,31,NA,NA,"SSID",NA,"280","31","SB_F",12.31,"symb",50.6018859440632,179.637417507043,-181.9671063171,522.887609668217
"87",NA,NA,"405_31",405,31,NA,NA,"SSID",NA,"400","31","SB_F",11.296,"symb",36.6619248877743,22.7706481472534,-334.240673312745,359.54204817583
"88",NA,NA,"447_28",447,28,NA,NA,"SSID",NA,"400","28","SB_F",12.975,"symb",38.1457507757648,-6.39686003454761,-357.494500470534,314.838952588839
"89",NA,NA,"288_28",288,28,NA,NA,"SSID",NA,"280","28","SB_F",10.805,"symb",36.9937175473404,150.469909325242,-195.346434286481,487.141294646646
"90",NA,NA,"3285_28",3285,28,NA,NA,"SSID",NA,"2800","28","SB_F",9.702,"symb",46.5147652983964,-163.376995987472,-492.739322513604,179.46295536877
"91",NA,NA,"701_31",701,31,NA,NA,"SSID",NA,"700","31","SB_F",11.185,"symb",35.4261503479976,200.834783837389,-152.136968896747,558.714837427517
"92",NA,NA,"701_31",701,31,NA,NA,"SSID",NA,"700","31","SB_F",11.185,"symb",35.4261503479976,200.834783837389,-152.136968896747,558.714837427517
"93",NA,NA,"673_28",673,28,NA,NA,"SSID",NA,"700","28","SB_F",12.153,"symb",26.8407641196992,171.667275655588,-156.051056439088,501.193679184439
"94",NA,NA,"673_28",673,28,NA,NA,"SSID",NA,"700","28","SB_F",12.153,"symb",26.8407641196992,171.667275655588,-156.051056439088,501.193679184439
"95",NA,NA,"673_28",673,28,NA,NA,"SSID",NA,"700","28","SB_F",12.153,"symb",26.8407641196992,171.667275655588,-156.051056439088,501.193679184439
"96",NA,NA,"3309_31",3309,31,NA,NA,"SSID",NA,"2800","31","SB_F",11.199,"symb",107.363938566426,-134.209487805671,-479.852549977459,215.380107029889
"97",NA,NA,"447_28",447,28,NA,NA,"SSID",NA,"400","28","SC_F",10.229,"symb",43.4604512485822,-6.39686003454761,-357.494500470534,314.838952588839
"98",NA,NA,"288_28",288,28,NA,NA,"SSID",NA,"280","28","SC_F",8.893,"symb",75.3760025581721,150.469909325242,-195.346434286481,487.141294646646
"99",NA,NA,"701_31",701,31,NA,NA,"SSID",NA,"700","31","SC_F",9.915,"symb",97.3083119256452,200.834783837389,-152.136968896747,558.714837427517
"100",NA,NA,"673_28",673,28,NA,NA,"SSID",NA,"700","28","SC_F",8.956,"symb",22.5676177028987,171.667275655588,-156.051056439088,501.193679184439
"101",NA,NA,"3309_31",3309,31,NA,NA,"SSID",NA,"2800","31","SC_F",9.433,"symb",21.0214510862986,-134.209487805671,-479.852549977459,215.380107029889
"102",NA,NA,"3285_28",3285,28,NA,NA,"SSID",NA,"2800","28","SC_F",9.262,"symb",34.3772116445164,-163.376995987472,-492.739322513604,179.46295536877
"103",NA,NA,"311_31",311,31,NA,NA,"SSID",NA,"280","31","SD_F",10.682,"symb",8.96830219283443,179.637417507043,-181.9671063171,522.887609668217
"104",NA,NA,"288_28",288,28,NA,NA,"SSID",NA,"280","28","SD_F",10.905,"symb",46.2870392912934,150.469909325242,-195.346434286481,487.141294646646
"105",NA,NA,"405_31",405,31,NA,NA,"SSID",NA,"400","31","SD_F",10.206,"symb",21.3004687497337,22.7706481472534,-334.240673312745,359.54204817583
"106",NA,NA,"288_28",288,28,NA,NA,"SSID",NA,"280","28","SD_F",11.381,"symb",39.8545034658167,150.469909325242,-195.346434286481,487.141294646646
"107",NA,NA,"701_31",701,31,NA,NA,"SSID",NA,"700","31","SD_F",12.59,"symb",7.18182229343853,200.834783837389,-152.136968896747,558.714837427517
"108",NA,NA,"673_28",673,28,NA,NA,"SSID",NA,"700","28","SD_F",9.677,"symb",39.971392110315,171.667275655588,-156.051056439088,501.193679184439
"109",NA,NA,"3309_31",3309,31,NA,NA,"SSID",NA,"2800","31","SD_F",11.137,"symb",20.3077786083771,-134.209487805671,-479.852549977459,215.380107029889
"110",NA,NA,"3285_28",3285,28,NA,NA,"SSID",NA,"2800","28","SD_F",8.568,"symb",31.0656842156328,-163.376995987472,-492.739322513604,179.46295536877
"111",NA,NA,"447_28",447,28,NA,NA,"SSID",NA,"400","28","SD_F",11.455,"symb",40.9316277263947,-6.39686003454761,-357.494500470534,314.838952588839
"112",NA,NA,"311_31",311,31,NA,NA,"SSID",NA,"280","31","SE_F",8.451,"symb",88.5817187034318,179.637417507043,-181.9671063171,522.887609668217
"113",NA,NA,"447_28",447,28,NA,NA,"SSID",NA,"400","28","SE_F",1.88,"symb",123.992171715606,-6.39686003454761,-357.494500470534,314.838952588839
"114",NA,NA,"405_31",405,31,NA,NA,"SSID",NA,"400","31","SE_F",9.104,"symb",21.7844125151292,22.7706481472534,-334.240673312745,359.54204817583
"115",NA,NA,"701_31",701,31,NA,NA,"SSID",NA,"700","31","SE_F",9.119,"symb",190.908650955056,200.834783837389,-152.136968896747,558.714837427517
"116",NA,NA,"673_28",673,28,NA,NA,"SSID",NA,"700","28","SE_F",8.178,"symb",42.6870289820186,171.667275655588,-156.051056439088,501.193679184439
"117",NA,NA,"3309_31",3309,31,NA,NA,"SSID",NA,"2800","31","SE_F",8.936,"symb",310.554422403173,-134.209487805671,-479.852549977459,215.380107029889
"118",NA,NA,"3285_28",3285,28,NA,NA,"SSID",NA,"2800","28","SE_F",6.848,"symb",14.0416859581637,-163.376995987472,-492.739322513604,179.46295536877
