"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","treat2","mean","lowerci","upperci"
"106","CFSC9","2800_28_2","10",3285,28,"T90","F","SSID","C","2800","28","SC_F",9.262,"pro",0.474,"3285_28",0.450021293055459,0.374014459497445,0.528850978038564
"107","CFSD1","280_31_2","4.5",311,31,"T90","F","SSID","D","280","31","SD_F",10.682,"pro",0.476,"311_31",0.439080298160748,0.354894144238484,0.521880972422285
"108","CFSD11","280_28_2","4",288,28,"T90","F","SSID","D","280","28","SD_F",10.905,"pro",0.544,"288_28",0.494697100681847,0.409043999013293,0.576370632749372
"109","CFSD3","400_31_2","6.5",405,31,"T90","F","SSID","D","400","31","SD_F",10.206,"pro",0.016,"405_31",0.461094503459034,0.381816211282321,0.538392579270814
"110","CFSD4","280_28_3","4",288,28,"T90","F","SSID","D","280","28","SD_F",11.381,"pro",0.37,"288_28",0.494697100681847,0.409043999013293,0.576370632749372
"111","CFSD5","700_31_2","8.5",701,31,"T90","F","SSID","D","700","31","SD_F",12.59,"pro",0.367,"701_31",0.409223025491175,0.33236182969871,0.4858018163041
"112","CFSD6","700_28_2","8",673,28,"T90","F","SSID","D","700","28","SD_F",9.677,"pro",0.537,"673_28",0.464839828012274,0.386307062783557,0.540511312391451
"113","CFSD7","2800_31_2","10.5",3309,31,"T90","F","SSID","D","2800","31","SD_F",11.137,"pro",0.464,"3309_31",0.39440449053436,0.31572628431367,0.474155420716871
"114","CFSD8","2800_28_2","10",3285,28,"T90","F","SSID","D","2800","28","SD_F",8.568,"pro",0.479,"3285_28",0.450021293055459,0.374014459497445,0.528850978038564
"115","CFSD9","400_28_2","6",447,28,"T90","F","SSID","D","400","28","SD_F",11.455,"pro",0.507,"447_28",0.516711305980133,0.438331183864245,0.595351410591824
"116","CFSE1","280_31_3","4.5",311,31,"T90","F","SSID","E","280","31","SE_F",8.451,"pro",0.335,"311_31",0.439080298160748,0.354894144238484,0.521880972422285
"117","CFSE11","400_28_3","6",447,28,"T90","F","SSID","E","400","28","SE_F",1.88,"pro",0.133,"447_28",0.516711305980133,0.438331183864245,0.595351410591824
"118","CFSE3","400_31_3","6.5",405,31,"T90","F","SSID","E","400","31","SE_F",9.104,"pro",0.368,"405_31",0.461094503459034,0.381816211282321,0.538392579270814
"119","CFSE5","700_31_3","8.5",701,31,"T90","F","SSID","E","700","31","SE_F",9.119,"pro",0.252,"701_31",0.409223025491175,0.33236182969871,0.4858018163041
"120","CFSE6","700_28_3","8",673,28,"T90","F","SSID","E","700","28","SE_F",8.178,"pro",0.554,"673_28",0.464839828012274,0.386307062783557,0.540511312391451
"121","CFSE7","2800_31_3","10.5",3309,31,"T90","F","SSID","E","2800","31","SE_F",8.936,"pro",0.256,"3309_31",0.39440449053436,0.31572628431367,0.474155420716871
