"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","treat2","mean","lowerci","upperci"
"14","CFAC5","700_31_2","8.5",701,31,"T90","F","PAST","C","700","31","AC_F",11.743,"den",1.859831389,"701_31",4.17855634961353,3.11405072934059,5.27978944524749
"15","CFAC6","700_28_2","8",673,28,"T90","F","PAST","C","700","28","AC_F",10.222,"den",8.725233157,"673_28",5.07615391403416,4.05258745612225,6.14788859461174
"16","CFAC8","2800_28_2","10",3285,28,"T90","F","PAST","C","2800","28","AC_F",9.302,"den",7.74199097,"3285_28",5.8723172626276,4.85528227759517,6.8532471216798
"17","CFAD12","400_28_2","6",447,28,"T90","F","PAST","D","400","28","AD_F",5.764,"den",5.618783252,"447_28",6.47149237838607,5.51759220316364,7.48087779858645
"18","CFAD2","280_28_2","4",288,28,"T90","F","PAST","D","280","28","AD_F",8.646,"den",4.812398797,"288_28",7.29809174486631,6.23059561756763,8.31027791829084
"19","CFAD5","700_31_2","8.5",701,31,"T90","F","PAST","D","700","31","AD_F",9.903,"den",2.283506126,"701_31",4.17855634961353,3.11405072934059,5.27978944524749
"20","CFAD6","700_28_2","8",673,28,"T90","F","PAST","D","700","28","AD_F",8.446,"den",5.52949998,"673_28",5.07615391403416,4.05258745612225,6.14788859461174
"21","CFAD8","2800_28_2","10",3285,28,"T90","F","PAST","D","2800","28","AD_F",9.366,"den",7.286756593,"3285_28",5.8723172626276,4.85528227759517,6.8532471216798
"22","CFAD9","400_28_3","6",447,28,"T90","F","PAST","D","400","28","AD_F",6.6,"den",10.73864956,"447_28",6.47149237838607,5.51759220316364,7.48087779858645
"23","CFAE10","280_31_3","4.5",311,31,"T90","F","PAST","E","280","31","AE_F",8.362,"den",4.195785798,"311_31",6.40049418044568,5.15921868933334,7.51073182184699
"24","CFAE15","280_28_3","4",288,28,"T90","F","PAST","E","280","28","AE_F",8.097,"den",9.521613833,"288_28",7.29809174486631,6.23059561756763,8.31027791829084
"25","CFAE8","2800_28_3","10",3285,28,"T90","F","PAST","E","2800","28","AE_F",11.355,"den",6.04485674,"3285_28",5.8723172626276,4.85528227759517,6.8532471216798
"26","CFAF2","280_28_3","4",288,28,"T90","F","PAST","F","280","28","AF_F",10.805,"den",12.23693466,"288_28",7.29809174486631,6.23059561756763,8.31027791829084
"27","CFAF3","400_31_3","6.5",405,31,"T90","F","PAST","F","400","31","AF_F",10.534,"den",14.0512642,"405_31",5.57389481396544,4.41990392580743,6.75205316726047
"28","CFAF5","700_31_3","8.5",701,31,"T90","F","PAST","F","700","31","AF_F",10.342,"den",5.507703217,"701_31",4.17855634961353,3.11405072934059,5.27978944524749
"29","CFAF6","700_28_3","8",673,28,"T90","F","PAST","F","700","28","AF_F",10.115,"den",3.964870654,"673_28",5.07615391403416,4.05258745612225,6.14788859461174
"30","CFAF8","2800_28_3","10",3285,28,"T90","F","PAST","F","2800","28","AF_F",9.643,"den",2.557571987,"3285_28",5.8723172626276,4.85528227759517,6.8532471216798
"31","CFAF9","400_28_3","6",447,28,"T90","F","PAST","F","400","28","AF_F",5.018,"den",6.74691112,"447_28",6.47149237838607,5.51759220316364,7.48087779858645
"32","CFPA1","280_31_1","4.5",311,31,"T90","F","PSTR","A","280","31","PA_F",12.372,"den",0.02127731228,"311_31",0.422409427504383,-0.535517782490362,1.39332090339788
"33","CFPA10","2800_28_2","10",3285,28,"T90","F","PSTR","A","2800","28","PA_F",14.24,"den",0.9143258427,"3285_28",1.57653995429393,0.709362927644975,2.42653282995316
"34","CFPA11","400_31_2","6.5",405,31,"T90","F","PSTR","A","400","31","PA_F",10.967,"den",0.003829554434,"405_31",0.453519527871147,-0.80916914994155,1.71750648553513
