"","X1","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","den","pro","chla","sum_bw5","red_bw1","green_bw1","blue_bw1","sum_bw1","red_bw2","green_bw2","blue_bw2","sum_bw2","red_bw3","green_bw3","blue_bw3","sum_bw3","red_bw4","green_bw4","blue_bw4","sum_bw4","red_bw5","green_bw5","blue_bw5","rate","carb(mg/cm2)_avg","lipid(mg/cm2)_avg"
"19",19,"CFAD12","400_28_2","447_28",447,28,"T90","F","A","D","400",28,"AD_F",5.764,5618783.252,0.275,120.172,232.4,NA,NA,NA,NA,104.7,63.2,14.7,182.6,102.5,66.3,19.3,188.1,71.7,44.4,14.1,130.2,118.9,85.3,28.2,-0.056,0.636318400127226,0.152609972
"20",20,"CFAD2","280_28_2","288_28",288,28,"T90","F","A","D","280",28,"AD_F",8.646,4812398.797,0.173,50.097,307.3,147.4,115.8,17.8,281,101.6,65.6,17.9,185.1,97.1,63.4,16.4,176.9,118,78.9,18,214.9,159.1,116.2,32,-0.399,0.623476142917727,0.115535049
"21",21,"CFAD5","700_31_2","701_31",701,31,"T90","F","A","D","700",31,"AD_F",9.903,2283506.126,0.072,153.354,212.2,129,95.1,7.1,231.2,117.2,85.4,24.1,226.7,174.2,134.1,43.9,352.2,206.5,184,94.5,485,102.9,83.6,25.7,0.274,0.000735213073894735,0.078126434
"22",22,"CFAD6","700_28_2","673_28",673,28,"T90","F","A","D","700",28,"AD_F",8.446,5529499.98,0.109,26.367,425.7,161.9,126.5,22.3,310.7,89,56.9,16.4,162.3,113.1,74.7,32.9,220.7,154.4,118.7,45.9,319,192.2,168.5,65,-0.774,0.755506713199239,0.075443369
"23",23,"CFAD8","2800_28_2","3285_28",3285,28,"T90","F","A","D","2800",28,"AD_F",9.366,7286756.593,0.258,21.158,328.5,148,113.3,16.7,278,72.1,45.7,9.1,126.9,94.4,65.7,20,180.1,136.1,101.4,37.8,275.3,155.5,129.6,43.4,-0.713,1.00313094508299,0.129487411
"24",24,"CFAD9","400_28_3","447_28",447,28,"T90","F","A","D","400",28,"AD_F",6.6,10738649.56,0.164,80.502,410.1,NA,NA,NA,NA,111.3,71.1,11.3,193.7,116.1,79.9,15.8,211.8,126.5,99.6,29.3,255.4,181.1,159,70,0.056,0.857520147005581,0.211555442
"25",25,"CFAE10","280_31_3","311_31",311,31,"T90","F","A","E","280",31,"AE_F",8.362,4195785.798,0.07,188.735,125.3,126.5,90.4,17.8,234.7,178.4,149,71.8,399.2,153,135.2,46.9,335.1,107.9,95.9,27.1,230.9,60.3,49.2,15.8,0.118,0.369658697471957,0.175859548
"26",26,"CFAE15","280_28_3","288_28",288,28,"T90","F","A","E","280",28,"AE_F",8.097,9521613.833,0.093,63.892,175,138.8,100.3,28.8,267.9,207.7,178.6,113.1,499.4,142,118.4,47.3,307.7,121.2,102.2,24.9,248.3,80.3,68.7,26,0.09,0.531737887380332,0.200566398
"27",27,"CFAE8","2800_28_3","3285_28",3285,28,"T90","F","A","E","2800",28,"AE_F",11.355,6044856.74,0.033,8.417,455.2,163.2,124.4,38.7,326.3,182.6,155.7,85.6,423.9,216.1,195.3,129.9,541.3,162.1,148.4,78,388.5,183.7,168.7,102.8,-0.745,0.285103663314613,0.092137439
"28",28,"CFAF2","280_28_3","288_28",288,28,"T90","F","A","F","280",28,"AF_F",10.805,12236934.66,0.102,96.569,259.3,91.7,61.8,9.8,163.3,109,81.7,36.5,227.2,117.5,82.1,35.5,235.1,104.7,81.8,21.3,207.8,124.8,104.8,29.7,0.111,0.571410397337135,0.205845264
"29",29,"CFAF3","400_31_3","405_31",405,31,"T90","F","A","F","400",31,"AF_F",10.534,14051264.2,0.087,35.792,230.2,154,121.4,26.9,302.3,169.5,128.8,45.1,343.4,145.4,108.6,46.6,300.6,82.1,70.9,31,184,104.7,90.5,35,-0.287,0.372965631824004,0.26288503
"30",30,"CFAF5","700_31_3","701_31",701,31,"T90","F","A","F","700",31,"AF_F",10.342,5507703.217,0.09,96.989,211,151.2,117.6,26.4,295.2,192.1,165.5,112.4,470,228,203.8,178.7,610.5,143.5,127.8,48.5,319.8,93.4,84.9,32.7,-0.1,0.574677389286405,0.089170304
"31",31,"CFAF6","700_28_3","673_28",673,28,"T90","F","A","F","700",28,"AF_F",10.115,3964870.654,0.132,51.663,361.1,147.5,114.9,38,300.4,157.3,133.6,76.2,367.1,162.7,127.6,70.3,360.6,153.4,119.4,70.6,343.4,163.2,135.9,62,0.223,0.102534036414566,0.073699159
"32",32,"CFAF8","2800_28_3","3285_28",3285,28,"T90","F","A","F","2800",28,"AF_F",9.643,2557571.987,0.086,9.929,457.6,125.7,90.6,17.8,234.1,106,80.2,31.1,217.3,146.3,116.1,65.7,328.1,119.4,89,51.9,260.3,185.8,159.2,112.6,-0.879,0.867945251477756,0.126541338
"33",33,"CFAF9","400_28_3","447_28",447,28,"T90","F","A","F","400",28,"AF_F",5.018,6746911.12,0.045,29.005,409.2,NA,NA,NA,NA,111.7,72.8,33.8,218.3,111.3,76.3,25.1,212.7,104,73.9,35.2,213.1,172.4,142.4,94.4,0.29,2.18060860701475,0.344479818
