"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","offset","param","value","mean","lowerci","upperci"
"87","CFSA7","2800_31_1",10,3309,31,"T90","F","SSID","A","3300","31","SA_F",8.812,0.624,"host",0.872286778,1.35355713855254,0.982949068866831,1.70157165104223
"88","CFSB1","280_31_1",4,311,31,"T90","F","SSID","B","300","31","SB_F",12.31,0.975,"host",2.000293195,1.63125286502368,1.19667334610022,2.0749252225885
"89","CFSB10","400_31_1",6,405,31,"T90","F","SSID","B","420","31","SB_F",11.296,0.487,"host",1.112156499,1.93462320297747,1.54945713540544,2.31818755225068
"90","CFSB13","400_28_1",6,447,28,"T90","F","SSID","B","420","28","SB_F",12.975,0.655,"host",1.423368357,2.32867099462081,1.95028930710263,2.71698148739961
"91","CFSB2","280_28_1",4,288,28,"T90","F","SSID","B","300","28","SB_F",10.805,0.602,"host",2.165061944,2.02530065666702,1.60978200211494,2.44694168177741
"92","CFSB3","2800_28_1",10,3285,28,"T90","F","SSID","B","3300","28","SB_F",9.702,0.567,"host",0.936296375,1.74760493019587,1.39459817515538,2.09717192542209
"93","CFSB5","700_31_1",8,701,31,"T90","F","SSID","B","680","31","SB_F",11.185,0.715,"host",2.230954372,1.79829061281224,1.46910633819507,2.1331822566192
"94","CFSB5","700_31_1",8,701,31,"T90","F","SSID","B","680","31","SB_F",11.185,0.715,"host",2.230954372,1.79829061281224,1.46910633819507,2.1331822566192
"95","CFSB6","700_28_1",8,673,28,"T90","F","SSID","B","680","28","SB_F",12.153,0.453,"host",3.402174973,2.19233840445558,1.85659901399512,2.51664761112764
"96","CFSB6","700_28_1",8,673,28,"T90","F","SSID","B","680","28","SB_F",12.153,0.453,"host",1.445309901,2.19233840445558,1.85659901399512,2.51664761112764
"97","CFSB6","700_28_1",8,673,28,"T90","F","SSID","B","680","28","SB_F",12.153,0.453,"host",1.445309901,2.19233840445558,1.85659901399512,2.51664761112764
"98","CFSB7","2800_31_1",10,3309,31,"T90","F","SSID","B","3300","31","SB_F",11.199,0.491,"host",0.73526992,1.35355713855254,0.982949068866831,1.70157165104223
"99","CFSC14","400_28_2",6,447,28,"T90","F","SSID","C","420","28","SC_F",10.229,2.542,"host",4.947180389,2.32867099462081,1.95028930710263,2.71698148739961
"100","CFSC2","280_28_2",4,288,28,"T90","F","SSID","C","300","28","SC_F",8.893,0.843,"host",1.673308778,2.02530065666702,1.60978200211494,2.44694168177741
"101","CFSC5","700_31_2",8,701,31,"T90","F","SSID","C","680","31","SC_F",9.915,0.958,"host",2.219694724,1.79829061281224,1.46910633819507,2.1331822566192
"102","CFSC6","700_28_2",8,673,28,"T90","F","SSID","C","680","28","SC_F",8.956,0.949,"host",1.831518406,2.19233840445558,1.85659901399512,2.51664761112764
"103","CFSC7","2800_31_2",10,3309,31,"T90","F","SSID","C","3300","31","SC_F",9.433,1.219,"host",1.973927751,1.35355713855254,0.982949068866831,1.70157165104223
"104","CFSC9","2800_28_2",10,3285,28,"T90","F","SSID","C","3300","28","SC_F",9.262,1.943,"host",3.052624944,1.74760493019587,1.39459817515538,2.09717192542209
"105","CFSD1","280_31_2",4,311,31,"T90","F","SSID","D","300","31","SD_F",10.682,0.515,"host",1.553306646,1.63125286502368,1.19667334610022,2.0749252225885
"106","CFSD11","280_28_2",4,288,28,"T90","F","SSID","D","300","28","SD_F",10.905,0.734,"host",2.312331293,2.02530065666702,1.60978200211494,2.44694168177741
"107","CFSD3","400_31_2",6,405,31,"T90","F","SSID","D","420","31","SD_F",10.206,0.539,"host",0.260761403,1.93462320297747,1.54945713540544,2.31818755225068
"108","CFSD4","280_28_3",4,288,28,"T90","F","SSID","D","300","28","SD_F",11.381,0.483,"host",1.388179675,2.02530065666702,1.60978200211494,2.44694168177741
"109","CFSD5","700_31_2",8,701,31,"T90","F","SSID","D","680","31","SD_F",12.59,0.437,"host",1.202999526,1.79829061281224,1.46910633819507,2.1331822566192
"110","CFSD6","700_28_2",8,673,28,"T90","F","SSID","D","680","28","SD_F",9.677,0.878,"host",2.068766845,2.19233840445558,1.85659901399512,2.51664761112764
"111","CFSD7","2800_31_2",10,3309,31,"T90","F","SSID","D","3300","31","SD_F",11.137,0.494,"host",1.558487553,1.35355713855254,0.982949068866831,1.70157165104223
"112","CFSD8","2800_28_2",10,3285,28,"T90","F","SSID","D","3300","28","SD_F",8.568,1.459,"host",2.49471682,1.74760493019587,1.39459817515538,2.09717192542209
"113","CFSD9","400_28_2",6,447,28,"T90","F","SSID","D","420","28","SD_F",11.455,0.786,"host",1.399138526,2.32867099462081,1.95028930710263,2.71698148739961
"114","CFSE11","400_28_3",6,447,28,"T90","F","SSID","E","420","28","SE_F",1.88,3.457,"host",3.052696989,2.32867099462081,1.95028930710263,2.71698148739961
"115","CFSE3","400_31_3",6,405,31,"T90","F","SSID","E","420","31","SE_F",9.104,0.714,"host",0.968452831,1.93462320297747,1.54945713540544,2.31818755225068
"116","CFSE5","700_31_3",8,701,31,"T90","F","SSID","E","680","31","SE_F",9.119,0.713,"host",1.551035302,1.79829061281224,1.46910633819507,2.1331822566192
"117","CFSE6","700_28_3",8,673,28,"T90","F","SSID","E","680","28","SE_F",8.178,1.039,"host",2.545302219,2.19233840445558,1.85659901399512,2.51664761112764
"118","CFSE7","2800_31_3",10,3309,31,"T90","F","SSID","E","3300","31","SE_F",8.936,1.455,"host",1.503119614,1.35355713855254,0.982949068866831,1.70157165104223
"119","CFSE8","2800_28_3",10,3285,28,"T90","F","SSID","E","3300","28","SE_F",6.848,0.803,"host",1.12314838,1.74760493019587,1.39459817515538,2.09717192542209
"120","CFSF11","400_28_3",6,447,28,"T90","F","SSID","F","420","28","SF_F",10.117,1.137,"host",2.406882947,2.32867099462081,1.95028930710263,2.71698148739961
"121","CFSF16","2800_28_3",10,3285,28,"T90","F","SSID","F","3300","28","SF_F",11.373,0.484,"host",1.449679878,1.74760493019587,1.39459817515538,2.09717192542209
"122","CFSF2","280_28_3",4,288,28,"T90","F","SSID","F","300","28","SF_F",10.837,0.508,"host",1.909718532,2.02530065666702,1.60978200211494,2.44694168177741
"123","CFSF3","400_31_3",6,405,31,"T90","F","SSID","F","420","31","SF_F",7.627,3.016,"host",5.025992108,1.93462320297747,1.54945713540544,2.31818755225068
"124","CFSF5","700_31_3",8,701,31,"T90","F","SSID","F","680","31","SF_F",9.508,1.21,"host",2.073348075,1.79829061281224,1.46910633819507,2.1331822566192
"125","CFSF6","700_28_3",8,673,28,"T90","F","SSID","F","680","28","SF_F",10.336,2.806,"host",1.782921651,2.19233840445558,1.85659901399512,2.51664761112764
"126","CFSF7","2800_31_3",10,3309,31,"T90","F","SSID","F","3300","31","SF_F",11.597,0.905,"host",1.493651389,1.35355713855254,0.982949068866831,1.70157165104223
"127","CNAA14","700_28_1",8,673,28,"T90","N","PAST","A","680","28","AA_N",12.178,1.314,"host",1.283812374,1.05661250549141,0.664906896853496,1.46198471170815
"128","CNAA2","280_28_1",4,288,28,"T90","N","PAST","A","300","28","AA_N",12.034,0.706,"host",1.100206723,1.400414066647,0.963303972806413,1.85253300758374
