"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","offset","param","value","mean","lowerci","upperci"
"32","CFAF8","2800_28_3",10,3285,28,"T90","F","PAST","F","3300","28","AF_F",9.643,1.089,"pro",0.086,0.128802600096655,0.0616914908873095,0.195675289440983
"33","CFAF9","400_28_3",6,447,28,"T90","F","PAST","F","420","28","AF_F",5.018,1.893,"pro",0.045,0.195962338289926,0.12866385429524,0.259741789431913
"34","CFPA1","280_31_1",4,311,31,"T90","F","PSTR","A","300","31","PA_F",12.372,0.647,"pro",0.293,0.271652825554783,0.190791826542767,0.34533653595815
"35","CFPA10","2800_28_2",10,3285,28,"T90","F","PSTR","A","3300","28","PA_F",14.24,0.878,"pro",0.548,0.426196977400807,0.364274056690471,0.486117973105193
"36","CFPA11","400_31_2",6,405,31,"T90","F","PSTR","A","420","31","PA_F",10.967,1.14,"pro",0.128,0.234157617725478,0.150105214425655,0.315043581341686
"37","CFPA12","280_31_2",4,311,31,"T90","F","PSTR","A","300","31","PA_F",18.462,0.298,"pro",0.088,0.271652825554783,0.190791826542767,0.34533653595815
"38","CFPA2","280_28_1",4,288,28,"T90","F","PSTR","A","300","28","PA_F",11.998,0.667,"pro",0.5,0.530851923423383,0.46817994024661,0.592774504935419
"39","CFPA20","700_31_2",8,701,31,"T90","F","PSTR","A","680","31","PA_F",10.441,1.58,"pro",0.332,0.193200806550171,0.10699349373509,0.277085823011371
"40","CFPA21","280_28_2",4,288,28,"T90","F","PSTR","A","300","28","PA_F",16.909,1.36,"pro",0.846,0.530851923423383,0.46817994024661,0.592774504935419
"41","CFPA22","2800_31_2",10,3309,31,"T90","F","PSTR","A","3300","31","PA_F",9.655,0.57,"pro",0.112,0.166997879532207,0.0874626695841825,0.242886220639044
"42","CFPA3","400_31_1",6,405,31,"T90","F","PSTR","A","420","31","PA_F",12.671,0.671,"pro",0.258,0.234157617725478,0.150105214425655,0.315043581341686
